effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/ovn_dilemma_bundles				
grudge_transfer_region	wh_dlc05_tech_diplomacy_bonus_empire	faction_to_faction_own	25.0	start_turn_completed
grudge_transfer_region	wh_main_effect_force_unit_stat_morale	faction_to_force_own	5.0	start_turn_completed
grudge_transfer_region	grudge_supply_dummy	faction_to_faction_own_unseen	1.0	start_turn_completed
grudge_transfer_region_horde_growth	wh_main_effect_hordebuilding_growth_events_faction	force_to_force_own	8.0	start_turn_completed
grudge_supply_dummy	grudge_supply_dummy	faction_to_faction_own_unseen	1.0	start_turn_completed
grudge_retain_dummy	grudge_retain_dummy	faction_to_faction_own_unseen	1.0	start_turn_completed
grudge_liberate	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-25.0	start_turn_completed
grudge_liberate	wh_main_effect_public_order_faction	faction_to_province_own	4.0	start_turn_completed
grudge_camp_followers	wh2_main_effect_agent_action_success_chance_enemies	faction_to_character_own	15.0	start_turn_completed
grudge_camp_followers	wh2_dlc10_effect_faction_all_campaign_movement_range	faction_to_force_own	5.0	start_turn_completed
grudge_replacements	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	20.0	start_turn_completed
grudge_hire_dummy	grudge_hire_dummy	faction_to_faction_own_unseen	1.0	start_turn_completed
sabaar_fountain	wh_dlc03_effect_replenishment_full	faction_to_character_own_unseen	999.0	start_turn_completed
sabaar_fountain	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	20.0	start_turn_completed
ovn_chaos_gipfel	wh_dlc07_effect_economy_gdp_mod_industry	faction_to_faction_own_unseen	50.0	start_turn_completed
ovn_chaos_gipfel	wh_main_effect_religion_conversion_chaos_events_bad	faction_to_province_own	4.0	start_turn_completed
ovn_chaos_gipfel_deny	wh_dlc07_effect_economy_gdp_mod_industry	faction_to_faction_own_unseen	-50.0	start_turn_completed
ovn_chaos_gipfel	wh_main_faction_diplomacy_penalty_empire	faction_to_faction_own_unseen	-15.0	start_turn_completed
ovn_chaos_gipfel_deny	wh_main_effect_public_order_faction	faction_to_faction_own_unseen	-2.0	start_turn_completed
ovn_chaos_gipfel_deny	wh_main_effect_religion_conversion_untainted_events	faction_to_province_own	4.0	start_turn_completed
dk_hon_spawn	dk_hon_spawn	faction_to_faction_own_unseen	1.0	start_turn_completed
dk_hon_spawn	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	1.0	start_turn_completed
