building_chains_tables	6
key	tech_category_tab	encyclopedia_group	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander
ovn_Nehekharan			military	false	ovn_Nehekharan		7	
ovn_Portal_Recruitment			money	false	wh2_main_sch_infrastructure2_industry		7	
ovn_Portal_Recruitment_alt			money	false	wh2_main_sch_infrastructure2_industry		7	
ovn_Waystone			military	false	ovn_Waystone		7	
ovn_Waystone_marker			military	false	ovn_Waystone_marker		7	
ovn_Waystone_beacon			military	false	ovn_Waystone_beacon		7	
alb_resource_marble			money	false	wh_main_sch_human_resource_marble		0	
alb_resource_wood			money	false	wh_main_sch_human_resource_timber		0	
alb_resource_gold			money	false	wh_main_sch_human_resource_gold		0	
alb_resource_iron			money	false	wh_main_sch_human_resource_iron		0	
alb_resource_pottery			money	false	wh_main_sch_human_resource_pottery		0	
alb_resource_medicine			money	false	wh2_main_sch_resource_medicine		0	
ovn_albion_military			military	false	wh_main_sch_norsca_military		0	
ovn_albion_outpost_military			military	false	wh_main_sch_norsca_outpost_military		1	
ovn_albion_outpost_stables			military	false	wh_main_sch_norsca_outpost_stables		2	
ovn_albion_stables			military	false	wh_main_sch_norsca_stables		0	
elo_ogham_stone			military	false	wh_main_sch_special_reiksfort		0	
elo_temple_danu			military	false	wh2_main_sch_support2_worship		0	
albion_hunters			money	false	wh2_main_sch_infrastructure1_farm		0	
albion_order			happiness	false	wh2_main_sch_infrastructure3_order		0	
albion_smith			military	false	wh2_main_sch_support1_smith		0	
albion_hall_heroes			military	false	wh2_main_sch_military3_warmachines		0	
albion_gryphon_eyrie			military	false	wh2_main_sch_military4_monsters		3	
elo_great_ogham			money	false	elo_great_ogham		0	
elo_forge_old_ones			money	false	elo_forge_old_ones		0	
elo_citadel_lead			money	false	elo_citadel_lead		0	
albion_oracle_hall			military	false	wh2_main_sch_support4_other		0	
ovn_arb_barracks			military	false	wh2_main_sch_military1_barracks		1	
ovn_arb_industry_basic			money	false	wh2_main_sch_infrastructure2_industry		2	
ovn_arb_stables			military	false	wh2_main_sch_military2_stables		2	
ovn_arb_tavern			happiness	false	wh2_main_sch_infrastructure3_order		3	
ovn_arb_worship			military	false	wh_main_sch_human_wizards		0	
ovn_arb_forge			military	false	wh2_main_sch_military3_warmachines		7	
ovn_arb_nomad			military	false	wh2_main_sch_military4_monsters		7	
ovn_arb_xp			military	false	wh_main_sch_human_worship		7	
ovn_arb_hosp			money	false	wh2_main_sch_infrastructure4_energy		7	
ovn_arb_haikk			military	false	ovn_arb_haikk		7	
ovn_arb_bel			military	false	ovn_arb_bel		7	
