building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/ovn_hlf_under_food					
ovn_hlf_under_pick_menu_3	wh_main_effect_economy_gdp_industry	foreign_building_to_foreign_building_own	350.0	175.0	0.0
ovn_hlf_under_pick_menu_3	wh_main_effect_technology_research_points_mod	foreign_building_to_faction_own	3.0	2.0	0.0
ovn_hlf_under_pick_menu_2	wh_main_effect_economy_gdp_industry	foreign_building_to_foreign_building_own	300.0	150.0	0.0
ovn_hlf_under_pick_menu_2	wh_main_effect_technology_research_points_mod	foreign_building_to_faction_own	2.0	1.0	0.0
ovn_hlf_under_pick_menu_1	wh_main_effect_economy_gdp_industry	foreign_building_to_foreign_building_own	250.0	125.0	0.0
ovn_hlf_under_pick_menu_1	wh_main_effect_technology_research_points_mod	foreign_building_to_faction_own	1.0	0.0	0.0
ovn_hlf_under_buffet_menu_3	wh_main_effect_public_order_base	ovn_foreign_to_province	2.0	1.0	0.0
ovn_hlf_under_buffet_menu_3	wh_main_effect_economy_gdp_industry	foreign_building_to_foreign_building_own	400.0	200.0	0.0
ovn_hlf_under_buffet_menu_3	ovn_hlf_restaurant_chaos_corruption	foreign_building_to_region_own	1.0	0.0	0.0
ovn_hlf_under_buffet_menu_2	wh_main_effect_public_order_base	ovn_foreign_to_province	1.0	0.0	0.0
ovn_hlf_under_buffet_menu_2	wh_main_effect_economy_gdp_industry	foreign_building_to_foreign_building_own	340.0	170.0	0.0
ovn_hlf_under_buffet_menu_1	wh_main_effect_economy_gdp_industry	foreign_building_to_foreign_building_own	280.0	140.0	0.0
ovn_hlf_under_special_menu_1	wh_main_effect_province_growth_building	foreign_building_to_region_own	1.0	0.0	0.0
ovn_hlf_under_set_menu_3	wh2_dlc11_effect_percentage_region_income	foreign_building_to_foreign_building_own	30.0	15.0	0.0
ovn_hlf_under_set_menu_2	wh2_dlc11_effect_percentage_region_income	foreign_building_to_foreign_building_own	20.0	10.0	0.0
ovn_hlf_under_set_menu_1	wh2_dlc11_effect_percentage_region_income	foreign_building_to_foreign_building_own	10.0	5.0	0.0
ovn_hlf_under_special_menu_1	wh_main_effect_economy_gdp_industry	foreign_building_to_foreign_building_own	150.0	75.0	0.0
ovn_hlf_under_pick_menu_3	wh_main_effect_province_growth_building	foreign_building_to_region_own	2.0	1.0	0.0
ovn_hlf_under_pick_menu_2	wh_main_effect_province_growth_building	foreign_building_to_region_own	1.0	0.0	0.0
ovn_hlf_under_special_menu_1	ovn_hlf_restaurant_chaos_corruption_meat	foreign_building_to_region_own	1.0	0.0	0.0
ovn_hlf_under_buffet_menu_1	ovn_restaurant_exclusive_food_chains	foreign_building_to_foreign_building_own	1.0	1.0	1.0
ovn_hlf_under_buffet_menu_2	ovn_restaurant_exclusive_food_chains	foreign_building_to_foreign_building_own	1.0	1.0	1.0
ovn_hlf_under_buffet_menu_3	ovn_restaurant_exclusive_food_chains	foreign_building_to_foreign_building_own	1.0	1.0	1.0
ovn_hlf_under_pick_menu_1	ovn_restaurant_exclusive_food_chains	foreign_building_to_foreign_building_own	1.0	1.0	1.0
ovn_hlf_under_pick_menu_2	ovn_restaurant_exclusive_food_chains	foreign_building_to_foreign_building_own	1.0	1.0	1.0
ovn_hlf_under_pick_menu_3	ovn_restaurant_exclusive_food_chains	foreign_building_to_foreign_building_own	1.0	1.0	1.0
ovn_hlf_under_set_menu_1	ovn_restaurant_exclusive_food_chains	foreign_building_to_foreign_building_own	1.0	1.0	1.0
ovn_hlf_under_set_menu_2	ovn_restaurant_exclusive_food_chains	foreign_building_to_foreign_building_own	1.0	1.0	1.0
ovn_hlf_under_set_menu_3	ovn_restaurant_exclusive_food_chains	foreign_building_to_foreign_building_own	1.0	1.0	1.0
ovn_hlf_under_set_menu_3	wh_main_effect_economy_gdp_industry	foreign_building_to_foreign_building_own	200.0	100.0	0.0
ovn_hlf_under_set_menu_2	wh_main_effect_economy_gdp_industry	foreign_building_to_foreign_building_own	200.0	100.0	0.0
ovn_hlf_under_set_menu_1	wh_main_effect_economy_gdp_industry	foreign_building_to_foreign_building_own	200.0	100.0	0.0
