effect_bonus_value_agent_junction_tables	0
effect	bonus_value_id	agent
roy_effect_agent_enable_recruitment_arb_champion	availability	champion
roy_effect_agent_cap_increase_arb_champion	cap	champion
roy_effect_agent_recruitment_xp_arb_champion	recruitment_level	champion
roy_effect_agent_enable_recruitment_arb_nomad	availability	spy
roy_effect_agent_cap_increase_arb_nomad	cap	spy
roy_effect_agent_recruitment_xp_arb_nomad	recruitment_level	spy
roy_effect_agent_action_success_chance_arb_nomad	success_mod	spy
roy_effect_agent_action_cost_mod_arb_nomad	action_cost_mod	spy
roy_effect_agent_action_success_chance_arb_champion	success_mod	champion
