campaign_group_member_criteria_factions_tables	0
faction	member
wh2_main_arb_aswad_scythans	ovn_araby_scy_climate_chaotic
wh2_main_arb_aswad_scythans	ovn_araby_scy_climate_desert
wh2_main_arb_aswad_scythans	ovn_araby_scy_climate_frozen
wh2_main_arb_aswad_scythans	ovn_araby_scy_climate_island
wh2_main_arb_aswad_scythans	ovn_araby_scy_climate_jungle
wh2_main_arb_aswad_scythans	ovn_araby_scy_climate_magicforest
wh2_main_arb_aswad_scythans	ovn_araby_scy_climate_mountain
wh2_main_arb_aswad_scythans	ovn_araby_scy_climate_ocean
wh2_main_arb_aswad_scythans	ovn_araby_scy_climate_savannah
wh2_main_arb_aswad_scythans	ovn_araby_scy_climate_temperate
wh2_main_arb_aswad_scythans	ovn_araby_scy_climate_wasteland
wh2_main_arb_caliphate_of_araby	ovn_araby_climate_chaotic
wh2_main_arb_caliphate_of_araby	ovn_araby_climate_desert
wh2_main_arb_caliphate_of_araby	ovn_araby_climate_frozen
wh2_main_arb_caliphate_of_araby	ovn_araby_climate_island
wh2_main_arb_caliphate_of_araby	ovn_araby_climate_jungle
wh2_main_arb_caliphate_of_araby	ovn_araby_climate_magicforest
wh2_main_arb_caliphate_of_araby	ovn_araby_climate_mountain
wh2_main_arb_caliphate_of_araby	ovn_araby_climate_ocean
wh2_main_arb_caliphate_of_araby	ovn_araby_climate_savannah
wh2_main_arb_caliphate_of_araby	ovn_araby_climate_temperate
wh2_main_arb_caliphate_of_araby	ovn_araby_climate_wasteland
wh2_main_arb_flaming_scimitar	ovn_araby_scim_climate_chaotic
wh2_main_arb_flaming_scimitar	ovn_araby_scim_climate_desert
wh2_main_arb_flaming_scimitar	ovn_araby_scim_climate_frozen
wh2_main_arb_flaming_scimitar	ovn_araby_scim_climate_island
wh2_main_arb_flaming_scimitar	ovn_araby_scim_climate_jungle
wh2_main_arb_flaming_scimitar	ovn_araby_scim_climate_magicforest
wh2_main_arb_flaming_scimitar	ovn_araby_scim_climate_mountain
wh2_main_arb_flaming_scimitar	ovn_araby_scim_climate_ocean
wh2_main_arb_flaming_scimitar	ovn_araby_scim_climate_savannah
wh2_main_arb_flaming_scimitar	ovn_araby_scim_climate_temperate
wh2_main_arb_flaming_scimitar	ovn_araby_scim_climate_wasteland
