mercenary_pool_to_groups_junctions_tables	1
group	initial_unit_count	key	pool	faction_requirement	subculture_requirement	tech_requirement
wh_dlc08_nor_art_hellcannon_battery	1	220519880	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_warp	
wh_pro04_nor_mon_war_mammoth_ror_0	1	220519881	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_warp	
wh_dlc08_nor_mon_frost_wyrm_ror_0	1	220519882	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_warp	
wh_pro04_nor_inf_chaos_marauders_ror_0	1	220519883	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_warp	
wh_pro04_nor_mon_fimir_ror_0	1	220519884	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_warp	
wh_pro04_nor_mon_warwolves_ror_0	1	220519885	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_warp	
wh_pro04_nor_inf_marauder_berserkers_ror_0	1	220519886	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_warp	
wh_pro04_nor_mon_skinwolves_ror_0	1	220519888	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_warp	
wh_dlc08_nor_mon_war_mammoth_ror_1	1	220519890	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_warp	
wh_dlc08_nor_art_hellcannon_battery	1	220519891	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_pro04_nor_mon_war_mammoth_ror_0	1	220519892	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_dlc08_nor_mon_frost_wyrm_ror_0	1	220519893	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_pro04_nor_inf_chaos_marauders_ror_0	1	220519894	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_pro04_nor_mon_fimir_ror_0	1	220519895	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_pro04_nor_mon_warwolves_ror_0	1	220519896	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_pro04_nor_inf_marauder_berserkers_ror_0	1	220519897	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_pro04_nor_mon_skinwolves_ror_0	1	220519899	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_dlc08_nor_mon_war_mammoth_ror_1	1	220519901	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_fimir	
wh_dlc08_nor_art_hellcannon_battery	1	220519902	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_troll	
wh_pro04_nor_mon_war_mammoth_ror_0	1	220519903	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_troll	
wh_dlc08_nor_mon_frost_wyrm_ror_0	1	220519904	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_troll	
wh_pro04_nor_inf_chaos_marauders_ror_0	1	220519905	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_troll	
wh_pro04_nor_mon_fimir_ror_0	1	220519906	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_troll	
wh_pro04_nor_mon_warwolves_ror_0	1	220519907	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_troll	
wh_pro04_nor_inf_marauder_berserkers_ror_0	1	220519908	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_troll	
wh_pro04_nor_mon_skinwolves_ror_0	1	220519910	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_troll	
wh_dlc08_nor_mon_war_mammoth_ror_1	1	220519912	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_troll	
