campaign_group_member_criteria_factions_tables	0
faction	member
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_aghol_wastelands_fortress_of_the_damned
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_aghol_wastelands_palace_of_princes
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_aghol_wastelands_the_palace_of_ruin
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_albion_albion
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_albion_citadel_of_lead
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_albion_isle_of_wights
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_ash_river_numas
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_ash_river_quatar
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_ash_river_springs_of_eternal_life
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_atalan_mountains_eye_of_the_panther
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_atalan_mountains_martek
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_atalan_mountains_vulture_mountain
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_avelorn_evershale
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_avelorn_gaean_vale
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_avelorn_tor_saroir
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_blackspine_mountains_plain_of_dogs
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_blackspine_mountains_plain_of_spiders
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_blackspine_mountains_red_desert
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_caledor_tor_sethai
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_caledor_vauls_anvil
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_charnel_valley_granite_massif
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_charnel_valley_karag_orrud
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_chrace_elisia
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_chrace_tor_achare
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_coast_of_araby_al_haikk
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_coast_of_araby_copher
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_coast_of_araby_fyrus
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_cothique_mistnar
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_cothique_tor_koruali
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_crater_of_the_walking_dead_doom_glade
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_crater_of_the_walking_dead_rasetra
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_deadwood_dargoth
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_deadwood_nagrar
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_deadwood_shagrath
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_deadwood_the_frozen_city
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_devils_backbone_lahmia
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_devils_backbone_lybaras
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_devils_backbone_mahrak
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_doom_glades_hag_hall
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_doom_glades_ice_rock_gorge
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_doom_glades_temple_of_addaioth
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_doom_glades_vauls_anvil
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_eataine_angerrial
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_eataine_lothern
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_eataine_shrine_of_asuryan
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_eataine_tower_of_lysean
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_ellyrion_tor_elyr
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_ellyrion_whitefire_tor
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_great_desert_of_araby_bel_aliad
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_great_desert_of_araby_black_tower_of_arkhan
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_great_desert_of_araby_el-kalabad
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_great_desert_of_araby_pools_of_despair
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_great_mortis_delta_black_pyramid_of_nagash
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_headhunters_jungle_chupayotl
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_headhunters_jungle_mangrove_coast
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_headhunters_jungle_marks_of_the_old_ones
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_headhunters_jungle_oyxl
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_heart_of_the_jungle_oreons_camp
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_hell_pit_hell_pit
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_huahuan_desert_chamber_of_visions
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_huahuan_desert_sentinels_of_xeti
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_huahuan_desert_the_golden_colossus
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_iron_mountains_altar_of_ultimate_darkness
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_iron_mountains_har_kaldra
wh2_main_emp_grudgebringers	grudgebringer_occupation_decision_region_handover_wh2_main_iron_mountains_naggarond
