ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
anti_large	ovn_hef_inf_spearmen_sapphire
charge_reflector	ovn_hef_inf_spearmen_sapphire
shielded	ovn_hef_cav_ellyrian_reavers_shore
fire_whilst_moving	ovn_hef_cav_ellyrian_reavers_shore
vanguard_deployment	ovn_hef_cav_ellyrian_reavers_shore
very_fast	ovn_hef_cav_ellyrian_reavers_shore
good_range	ovn_hef_inf_archers_fire
weak_anti_armour	ovn_hef_inf_archers_fire
poison	ovn_hef_inf_archers_sea
good_range	ovn_hef_inf_archers_sea
good_range	ovn_hef_inf_archers_wind
anti_large	ovn_hef_inf_spearmen_falcon
charge_reflector	ovn_hef_inf_spearmen_falcon
