payload_key	effect_bundle_key
#cdir_events_payloads_tables;0;db/cdir_events_payloads_tables/ovn_payloads	
grudge_transfer_region	grudge_transfer_region
grudge_supply_dummy	grudge_supply_dummy
grudge_retain_dummy	grudge_retain_dummy
grudge_liberate	grudge_liberate
ovn_chaos_gipfel	ovn_chaos_gipfel
ovn_chaos_gipfel_deny	ovn_chaos_gipfel_deny
grudge_replacements	grudge_replacements
grudge_camp_followers	grudge_camp_followers
grudge_hire_dummy	grudge_hire_dummy
ovn_dilemma_rotblood_skit	ovn_dilemma_rotblood_skit
dk_hon_spawn	dk_hon_spawn
ovn_dilemma_alb_current_leader	ovn_dilemma_alb_current_leader
ovn_dilemma_alb_alt_leader	ovn_dilemma_alb_alt_leader
