building_level_armed_citizenry_junctions_tables	1
building_level	id	unit_group
wh_main_emp_garrison_1	92111951	ovn_araby
wh_main_emp_garrison_2	92111952	ovn_araby
wh_main_emp_garrison_2	92111953	ovn_araby2
wh_main_emp_outpostnorsca_major_1	92111954	ovn_araby
wh_main_emp_outpostnorsca_major_1_coast	92111955	ovn_araby
wh_main_emp_outpostnorsca_major_2	92111956	ovn_araby
wh_main_emp_outpostnorsca_major_2_coast	92111957	ovn_araby
wh_main_emp_outpostnorsca_major_2	92111958	ovn_araby
wh_main_emp_outpostnorsca_major_2_coast	92111959	ovn_araby
wh_main_emp_outpostnorsca_major_3	92111960	ovn_araby
wh_main_emp_outpostnorsca_major_3_coast	92111961	ovn_araby
wh_main_emp_outpostnorsca_major_4	92111962	ovn_araby2
wh_main_emp_outpostnorsca_major_4_coast	92111963	ovn_araby2
wh_main_emp_outpostnorsca_major_4	92111964	ovn_araby
wh_main_emp_outpostnorsca_major_4_coast	92111965	ovn_araby
wh_main_emp_outpostnorsca_major_4	92111966	ovn_araby
wh_main_emp_outpostnorsca_major_4_coast	92111967	ovn_araby
wh_main_emp_outpostnorsca_major_5	92111968	ovn_araby2
wh_main_emp_outpostnorsca_major_5_coast	92111969	ovn_araby2
wh_main_emp_outpostnorsca_major_5	92111970	ovn_araby2
wh_main_emp_outpostnorsca_major_5_coast	92111971	ovn_araby2
wh_main_emp_outpostnorsca_major_5	92111972	ovn_araby
wh_main_emp_outpostnorsca_major_5_coast	92111973	ovn_araby
wh_main_emp_outpostnorsca_minor_1	92111974	ovn_araby
wh_main_emp_outpostnorsca_minor_1_coast	92111975	ovn_araby
wh_main_emp_outpostnorsca_minor_2	92111976	ovn_araby
wh_main_emp_outpostnorsca_minor_2_coast	92111977	ovn_araby
wh_main_emp_outpostnorsca_minor_3	92111978	ovn_araby2
wh_main_emp_outpostnorsca_minor_3_coast	92111979	ovn_araby2
wh_main_emp_outpostnorsca_minor_3	92111980	ovn_araby
wh_main_emp_outpostnorsca_minor_3_coast	92111981	ovn_araby
wh_main_emp_settlement_major_1	92111982	ovn_araby
wh_main_emp_settlement_major_1_coast	92111983	ovn_araby
wh_main_emp_settlement_major_2	92111984	ovn_araby
wh_main_emp_settlement_major_2_coast	92111985	ovn_araby
wh_main_emp_settlement_major_2	92111986	ovn_araby
wh_main_emp_settlement_major_2_coast	92111987	ovn_araby
wh_main_emp_settlement_major_3	92111988	ovn_araby
wh_main_emp_settlement_major_3_coast	92111989	ovn_araby
wh_main_emp_settlement_major_3	92111990	ovn_araby
wh_main_emp_settlement_major_3_coast	92111991	ovn_araby
wh_main_emp_settlement_major_4	92111992	ovn_araby2
wh_main_emp_settlement_major_4_coast	92111993	ovn_araby2
wh_main_emp_settlement_major_4	92111994	ovn_araby
wh_main_emp_settlement_major_4_coast	92111995	ovn_araby
wh_main_emp_settlement_major_4	92111996	ovn_araby
wh_main_emp_settlement_major_4_coast	92111997	ovn_araby
wh_main_emp_settlement_major_5	92111998	ovn_araby2
wh_main_emp_settlement_major_5_coast	92111999	ovn_araby2
wh_main_emp_settlement_major_5	92112000	ovn_araby2
wh_main_emp_settlement_major_5_coast	92112001	ovn_araby2
wh_main_emp_settlement_major_5	92112002	ovn_araby
wh_main_emp_settlement_major_5_coast	92112003	ovn_araby
wh_main_emp_settlement_minor_1	92112004	ovn_araby
wh_main_emp_settlement_minor_1_coast	92112005	ovn_araby
wh_main_emp_settlement_minor_2	92112006	ovn_araby
wh_main_emp_settlement_minor_2_coast	92112007	ovn_araby
wh_main_emp_settlement_minor_2	92112008	ovn_araby
wh_main_emp_settlement_minor_2_coast	92112009	ovn_araby
wh_main_emp_settlement_minor_3	92112010	ovn_araby2
wh_main_emp_settlement_minor_3_coast	92112011	ovn_araby2
wh_main_emp_settlement_minor_3	92112012	ovn_araby
wh_main_emp_settlement_minor_3_coast	92112013	ovn_araby
wh_main_teb_walls_1	92112014	ovn_araby
wh_main_teb_walls_2	92112015	ovn_araby
wh_main_teb_walls_2	92112016	ovn_araby
wh_main_teb_walls_3	92112017	ovn_araby2
wh_main_teb_walls_3	92112018	ovn_araby
wh_main_special_settlement_altdorf_1_emp	92112019	ovn_araby
wh_main_special_settlement_altdorf_2_emp	92112020	ovn_araby
wh_main_special_settlement_altdorf_3_emp	92112021	ovn_araby
wh_main_special_settlement_altdorf_3_emp	92112022	ovn_araby
wh_main_special_settlement_altdorf_4_emp	92112023	ovn_araby
wh_main_special_settlement_altdorf_4_emp	92112024	ovn_araby
wh_main_special_settlement_altdorf_4_emp	92112025	ovn_araby
wh_main_special_settlement_altdorf_5_emp	92112026	ovn_araby2
wh_main_special_settlement_altdorf_5_emp	92112027	ovn_araby
wh_main_special_settlement_altdorf_5_emp	92112028	ovn_araby
wh_main_special_settlement_castle_drakenhof_1_emp	92112029	ovn_araby
wh_main_special_settlement_castle_drakenhof_2_emp	92112030	ovn_araby
wh_main_special_settlement_castle_drakenhof_3_emp	92112031	ovn_araby
wh_main_special_settlement_castle_drakenhof_3_emp	92112032	ovn_araby
wh_main_special_settlement_castle_drakenhof_4_emp	92112033	ovn_araby
wh_main_special_settlement_castle_drakenhof_4_emp	92112034	ovn_araby
wh_main_special_settlement_castle_drakenhof_4_emp	92112035	ovn_araby
wh_main_special_settlement_castle_drakenhof_5_emp	92112036	ovn_araby2
wh_main_special_settlement_castle_drakenhof_5_emp	92112037	ovn_araby
wh_main_special_settlement_castle_drakenhof_5_emp	92112038	ovn_araby
wh_main_special_settlement_couronne_1_emp	92112039	ovn_araby
wh_main_special_settlement_couronne_2_emp	92112040	ovn_araby
wh_main_special_settlement_couronne_3_emp	92112041	ovn_araby
wh_main_special_settlement_couronne_3_emp	92112042	ovn_araby
wh_main_special_settlement_couronne_4_emp	92112043	ovn_araby2
wh_main_special_settlement_couronne_4_emp	92112044	ovn_araby
wh_main_special_settlement_couronne_4_emp	92112045	ovn_araby
wh_main_special_settlement_couronne_5_emp	92112046	ovn_araby2
wh_main_special_settlement_couronne_5_emp	92112047	ovn_araby2
wh_main_special_settlement_couronne_5_emp	92112048	ovn_araby
wh_main_special_settlement_kislev_1_emp	92112049	ovn_araby
wh_main_special_settlement_kislev_2_emp	92112050	ovn_araby
wh_main_special_settlement_kislev_3_emp	92112051	ovn_araby
wh_main_special_settlement_kislev_3_emp	92112052	ovn_araby
wh_main_special_settlement_kislev_4_emp	92112053	ovn_araby2
wh_main_special_settlement_kislev_4_emp	92112054	ovn_araby
wh_main_special_settlement_kislev_5_emp	92112055	ovn_araby2
wh_main_special_settlement_kislev_5_emp	92112056	ovn_araby
wh_main_special_settlement_miragliano_1_emp	92112057	ovn_araby
wh_main_special_settlement_miragliano_2_emp	92112058	ovn_araby
wh_main_special_settlement_miragliano_3_emp	92112059	ovn_araby
wh_main_special_settlement_miragliano_3_emp	92112060	ovn_araby
wh_main_special_settlement_miragliano_4_emp	92112061	ovn_araby
wh_main_special_settlement_miragliano_4_emp	92112062	ovn_araby2
wh_main_special_settlement_miragliano_5_emp	92112063	ovn_araby
wh_main_special_settlement_miragliano_5_emp	92112064	ovn_araby
wh_main_special_settlement_miragliano_5_emp	92112065	ovn_araby2
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_1	92112066	ovn_araby
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_2	92112067	ovn_araby
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_3	92112068	ovn_araby
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_4	92112069	ovn_araby2
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_5	92112070	ovn_araby2
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_3	92112071	ovn_araby
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_4	92112072	ovn_araby
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_5	92112073	ovn_araby2
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_4	92112074	ovn_araby
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_5	92112075	ovn_araby
