key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
#unit_sets_tables;2;db/unit_sets_tables/ovn_halflings				
hlf_thieves	false	-1	-1	
hlf_melee_units	false	-1	-1	
hlf_ranged_units	false	-1	-1	
hlf_cav_units	false	-1	-1	
hlf_warden_units	false	-1	-1	
hlf_ranger_units	false	-1	-1	
ovn_soup_art	false	-1	-1	
ovn_halfling_welf	false	-1	-1	
ovn_halfling_hlf_r7	true	7	9	
ovn_halfling_ogre_r7	true	7	9	
ovn_halfling_welf_r7	true	7	9	
ovn_soup_art_r7	true	7	9	
elo_ogres	false	-1	-1	
hlf_all_units	false	-1	-1	
elo_hlf_militia_melee	false	-1	-1	
elo_hlf_doggos	false	-1	-1	
elo_hlf_piggies	false	-1	-1	
elo_hlf_cocks	false	-1	-1	
elo_hlf_cav	false	-1	-1	
elo_hlf_thieves	false	-1	-1	
elo_hlf_wardens	false	-1	-1	
elo_hlf_militia_archer	false	-1	-1	
elo_hlf_rangers	false	-1	-1	
elo_hlf_archers_all	false	-1	-1	
elo_hlf_trees	false	-1	-1	
elo_hlf_cooks	false	-1	-1	
elo_hlf_feast	false	-1	-1	
elo_hlf_supply	false	-1	-1	
elo_hlf_artillery	false	-1	-1	
elo_hlf_dragon	false	-1	-1	
elo_hlf_ogre	false	-1	-1	
elo_hlf_eagle	false	-1	-1	
elo_hlf_monster	false	-1	-1	
elo_hlf_sheriff	false	-1	-1	
elo_hlf_warden	false	-1	-1	
elo_hlf_master_cook	false	-1	-1	
elo_hlf_reaper	false	-1	-1	
elo_hlf_edible	false	-1	-1	
