group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;1;db/cdir_military_generator_unit_qualities_tables/ovn_halflings		
Default_land_support	half_pig	10
Default_land_infantry_missile	halfling_milittia_arch	8
Default_land_anti_armour	halfling_milittia_great	6
Default_land_anti_armour	halfling_warden_great	10
Default_land_monster	hlf_baby_dragon	15
Default_land_aura	hlf_roast_pig	10
Default_land_cavalry_melee	ovn_mtl_cav_swine_riders_0	14
Default_land_cavalry_shock	ovn_mtl_cav_poultry_riders_0	18
Default_land_infantry_missile	halfling_archer	6
Default_land_infantry_melee	halfling_inf	5
Default_land_infantry_missile	halfling_cock	8
Default_land_infantry_melee	halfling_warfoot	6
Default_land_infantry_monterous	sr_ogre	18
Default_land_vehicle	wh_main_dwf_veh_dwarf_tank	30
Default_land_infantry_melee	halfling_spear	2
Default_land_aura	halfling_cook	12
Default_land_infantry_melee	halfling_thief	8
Default_land_infantry_melee	sr_ogre_ror	20
Default_land_aura	halfling_cook_ror	14
Default_land_artillery	halfling_cat	8
Default_land_artillery	halfling_cat_ror	9
Default_land_artillery	ovn_mtl_art_hotpot	10
Default_land_artillery	ovn_mtl_art_hotpot_ror	10
Default_land_support	elo_supply_wagon	8
Default_land_infantry_melee	halfling_housewives	10
Default_land_command	ovn_hlf_ll	10
Default_land_cavalry_melee	ovn_mtl_veh_reaper	10
Default_land_artillery	ovn_mtl_art_hotpot_emp	10
Default_land_infantry_melee	halfling_milittia_arch_emp	1
Default_land_infantry_missile	halfling_milittia_great_emp	8
Default_land_anti_armour	halfling_spear_emp	6
Default_land_infantry_melee	halfling_cook_emp	2
Default_land_aura	halfling_militia_emp	12
Default_land_infantry_melee	halfling_militia	1
Default_land_support	ovn_hlf_bee_throwers	8
Default_land_cavalry_shock	ovn_mtl_cav_battleram_riders_0	18
Default_land_support	ovn_hlf_sheep_dogs	1
