unit_abilities_to_additional_ui_effects_juncs_tables	0
ability	effect
ovn_unit_abilities_pot_of_naphtha	wh_main_all_strong_against_multiple
ovn_unit_abilities_pot_of_naphtha	wh_main_projectile_powerful_explosion
reckless_taste	wh_main_all_strong_against_multiple
ovn_hero_abilities_summon_genie	ovn_all_summon_genie
ovn_hero_abilities_summon_sea_nymph	ovn_all_summon_sea_nymph
ovn_hero_abilities_summon_desert_spirit	ovn_all_summon_desert_spirit
ovn_hero_abilities_summon_fire_efreet	ovn_all_summon_fire_efreet
ovn_hero_abilities_summon_tempest_djinn	ovn_all_summon_tempest_djinn
ovn_spell_desert_mirage	ovn_all_summon_arb_spearmen
ovn_spell_desert_mirage	wh2_dlc10_all_summon_no_damage
ovn_spell_desert_mirage_upgraded	ovn_all_summon_arb_spearmen
ovn_spell_desert_mirage_upgraded	wh2_dlc10_all_summon_no_damage
ovn_spell_desert_mirage_upgraded	wh_main_spell_upgraded_duration
ovn_spell_desert_sunstrike	wh_main_projectile_effective_long_range
ovn_spell_desert_sunstrike	wh_main_all_strong_against_single
ovn_spell_desert_sunstrike	wh_main_projectile_high_penetration
ovn_spell_desert_sunstrike_upgraded	wh_main_projectile_effective_long_range
ovn_spell_desert_sunstrike_upgraded	wh_main_all_strong_against_single
ovn_spell_desert_sunstrike_upgraded	wh_main_projectile_high_penetration
ovn_spell_desert_sunstrike_upgraded	wh_main_spell_upgraded_ap_damage_ranged
ovn_spell_desert_sandstorm	wh2_main_all_good_against_armour
ovn_spell_desert_sandstorm	wh2_main_all_magical_damage_moderate
ovn_spell_desert_sandstorm	wh2_main_spell_huge_vortex
ovn_spell_desert_sandstorm_upgraded	wh2_main_all_good_against_armour
ovn_spell_desert_sandstorm_upgraded	wh2_main_all_magical_damage_moderate
ovn_spell_desert_sandstorm_upgraded	wh2_main_spell_huge_vortex
ovn_spell_desert_sandstorm_upgraded	wh_main_spell_upgraded_duration
ovn_spell_desert_quicksand_upgraded	wh_main_spell_upgraded_area
ovn_spell_desert_burning_hands	wh2_main_all_magical_and_flaming_major
ovn_spell_desert_burning_hands	wh2_main_all_weak_against_armour
