ui_unit_groupings_tables	1
icon	key	parent_group
emp_gru_inf_flag	emp_gru_inf_flag	infantry
emp_cnt_grd_flag	emp_cnt_grd_flag	infantry
emp_flag_inf_flag	emp_flag_inf_flag	infantry
emp_gswords_inf_flag	emp_gswords_inf_flag	infantry
emp_dwarf_war_flag	emp_dwarf_war_flag	infantry
emp_elf_inf_flag	emp_elf_inf_flag	infantry
emp_out_inf_flag	emp_out_inf_flag	missile_infantry
emp_grudge_cross_flag	emp_grudge_cross_flag	missile_infantry
emp_helm_bow_flag	emp_helm_bow_flag	missile_infantry
emp_elf_arch_flag	emp_elf_arch_flag	missile_infantry
emp_out_pist_flag	emp_out_pist_flag	missile_cavalry_chariots
emp_ragnar_wolves_flag	emp_ragnar_wolves_flag	cavalry_chariots
emp_carlsson_cav_flag	emp_carlsson_cav_flag	cavalry_chariots
emp_grail_knights_flag	emp_grail_knights_flag	cavalry_chariots
emp_realm_knights_flag	emp_realm_knights_flag	cavalry_chariots
emp_grudge_cav_flag	emp_grudge_cav_flag	commander
emp_grudge_can_flag	emp_grudge_can_flag	artillery_war_machines
emp_imperial_can_flag	emp_imperial_can_flag	artillery_war_machines
emp_imperial_mortar_flag	emp_imperial_mortar_flag	artillery_war_machines
emp_ice_mage_flag	emp_ice_mage_flag	heroes_agents
