campaign_character_arts_tables	7
art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
albion_morrigan	0	0		none	albion_morrigan			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu1b_elf_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05	120211		0	0	0
albion_warleader	0	0		none	albion_warleader			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1c_chaos_axe_and_shield	cam_transport_ship_05	cam_transport_ship_05	120204		0	0	0
albion_truthsayer_beast	0	0		none	albion_truthsayer_beast			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1_empire_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05	120205		0	0	0
albion_truthsayer_life	0	0		none	albion_truthsayer_life			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1_empire_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05	120206		0	0	0
albion_truthsayer_light	0	0		none	albion_truthsayer_light			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1_empire_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05	120207		0	0	0
albion_truthsayer_truth	0	0		none	albion_truthsayer_truth			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1_empire_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05	120208		0	0	0
albion_wyrd_druid	0	0		none	albion_wyrd_druid			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04	120209		0	0	0
albion_chief	0	0		none	albion_chief			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04	120210		0	0	0
bl_elo_dural_durak	0	0		none	bl_elo_dural_durak			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1_empire_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05	120212		0	0	0
elo_dread_larenscheld	0	0		none	elo_dread_larenscheld			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	35877853		0	0	0
elo_cha_troll_lord_01	0	0		none	elo_cha_troll_lord_01			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu4c_throgg_2handed_hammer	cam_transport_ship_05	cam_transport_ship_05	119190		0	0	0
elo_cha_troll_lord_02	0	0		none	elo_cha_troll_lord_02			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu4c_throgg_2handed_hammer	cam_transport_ship_05	cam_transport_ship_05	119191		0	0	0
