battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/ovn_araby	
wm_bolt_thrower02	wh_main_emp_empire
hu1_bretonnian_sword_and_longbow	wh_main_emp_empire
hu1_tomb_skeleton_dual_swords	wh_main_emp_empire
hu1_men_arms_spear_and_shield	wh_main_emp_empire
hu1_bretonnian_bc2b_hippogryph_wb_sword_shield	wh_main_emp_empire
hq3_mammoth	wh_main_emp_empire
sc1_scorpion01	wh_main_emp_empire
cr1_cst_promethean	wh_main_emp_empire
hu1_fire_staff_and_sword	wh_main_emp_empire
hu1c_norsca_wb_mammoth_javelin	wh_main_emp_empire
hu1_bretonnian_2handed_hammer	wh_main_emp_empire
hu1c_chaos_axe_and_shield	wh_main_emp_empire
wm_cst_queenbess01	wh_main_emp_empire
hu1_cst_zombie_artillery	wh_main_emp_empire
hu1_cst_zombie_dual_cutlass	wh_main_emp_empire
hu1_tomb_sn1_serpent_spear_and_shield	wh_main_emp_empire
hu1_tomb_halberd_and_shield	wh_main_emp_empire
hu6e_ushabti_dual_swords	wh_main_emp_empire
hu1_settra_wm_tomb_chariot01_2handed_halberd	wh_main_emp_empire
sn1_serpent	wh_main_emp_empire
hr1_tomb_steed_draught	wh_main_emp_empire
hu1_tomb_wm_tomb_chariot01_whip	wh_main_emp_empire
hu1_tomb_wm_tomb_chariot01_2handed_halberd	wh_main_emp_empire
wm_tomb_chariot01	wh_main_emp_empire
hu1_dlc14_repanse_2handed_sword	wh_main_emp_empire
bc3_manticore	wh_main_emp_empire
hu1_empire_bc2_griffon_wb_sword_shield	wh_main_emp_empire
hu1_cst_admiral_cr1_promethean_wb_halberd	wh_main_emp_empire
wm_great_cannon01	wh_main_emp_empire
hu1_tomb_wm_tomb_chariot01_sword_and_bow	wh_main_emp_empire
hu1_tomb_wm_tomb_chariot01_sword_and_shield	wh_main_emp_empire
hr1_pegasus	wh_main_emp_empire
hu1_empire_hr1_warhorse_sword_and_bow	wh_main_emp_empire
gh1_banshee	wh_main_emp_empire
gh1_cairn_wraith	wh_main_emp_empire
gr1_grail_reliquae	wh_main_emp_empire
hu1_empire_staff_and_sword	wh_main_emp_empire
hu1_pr8_amethyst_staff_and_sword	wh_main_emp_empire
hu1_empire_hr1_pegasus_staff_and_sword	wh_main_emp_empire
hu1_empire_hr1_warhorse_staff_and_sword	wh_main_emp_empire
wm_steam_tank_turret01	wh_main_emp_empire
hu1_dlc13_wagon01_hellblaster_crew_1	wh_main_emp_empire
hu1_dlc13_wagon01_hellblaster_crew_2	wh_main_emp_empire
hr1_warhorse	wh_main_emp_empire
hu1_empire_hr1_warhorse_sword_and_repeater_rifle	wh_main_emp_empire
wm_trebuchet01	wh_main_emp_empire
hu1_vampire_zombie_sword_draught	wh_main_emp_empire
hu1c_chaos_hr1_warhorse_sword_and_shield	wh_main_emp_empire
hu1c_chaos_sword_and_shield	wh_main_emp_empire
hc2_chaos_spawn	wh_main_emp_empire
hu1_wight_king_sword_and_shield	wh_main_emp_empire
hu8c_ghoul_club	wh_main_emp_empire
hu1_graveguard_sword_and_shield	wh_main_emp_empire
hu1_skeleton_sword_and_shield	wh_main_emp_empire
hu1_vampire_zombie_sword	wh_main_emp_empire
hu8_crypt_horror_club	wh_main_emp_empire
hu20_dryads	wh_main_emp_empire
hr1_chaos_steed	wh_main_emp_empire
hu1_empire_hammer	wh_main_emp_empire
hu1_sartosa_free_company	wh_main_emp_empire
hu17_skaven_sword	wh_main_emp_empire
hu1_jaffar_staff_and_sword	wh_main_emp_empire
wm_mortisengine01	wh_main_emp_empire
hu1b_elf_bi1_eagle_wb_sword_and_bow	wh_main_emp_empire
hu1b_hr1_fatandira_dualswords_bow	wh_main_emp_empire
hu1b_hef_hr1_warhorse_sword_bow	wh_main_emp_empire
hu1b_fatandira_dualswords_bow	wh_main_emp_empire
hu1b_fatandira_bi1_eagle_wb_sword_and_bow	wh_main_emp_empire
hc2_cst_hulks	wh_main_emp_empire
hu13_cst_bloated_corpse	wh_main_emp_empire
gi2_cst_colossus	wh_main_emp_empire
hu1_cst_zombie_gi2_colossus_wb_crew_1	wh_main_emp_empire
hu1_cst_zombie_gi2_colossus_wb_crew_2	wh_main_emp_empire
hu1_cst_zombie_gi2_colossus_wb_crew_3	wh_main_emp_empire
hu1_cst_zombie_gi2_colossus_wb_crew_4	wh_main_emp_empire
hu1_cst_zombie_gi2_colossus_wb_crew_5	wh_main_emp_empire
