member	value
#campaign_group_member_criteria_values_tables;0;db/campaign_group_member_criteria_values_tables/ovn	
ovn_halfling_cooking_ingredient_unlocked	812
ovn_event_pic_beast	2500
ovn_event_pic_cod_invasion	2501
ovn_event_pic_cod_supply	2502
ovn_event_pic_troll_leave	2503
ovn_event_pic_troll_cannibal	2504
ovn_event_pic_arb_invasion	2505
ovn_albion_how_they_play_event	2506
ovn_hlf_how_they_play_event	2507
ovn_chorfs_how_they_play_event	2508
ovn_rot_how_they_play_event	2509
ovn_event_pic_rotblood_invasion	2510
