battle_entities_tables	33
key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier
grudgebringer_infantry_officer	man	1.5	3.0	3.0	4.0	3.8	30.0	25.0	25.0	0.6	circle	1.0	200.0	1.8	60.0	120.0	660	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	0.0	infantry_light_effects	13	13	0.0	true	1.0	0.9	83			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0
grudgebringer_cannon_officer	man	1.5	3.0	3.0	4.0	3.8	30.0	25.0	25.0	0.6	circle	1.0	200.0	1.8	60.0	120.0	48	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	0.0	infantry_light_effects	13	13	0.0	true	1.0	0.9	0			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0
grudgebringer_cavalry_officer	man	1.5	3.0	3.0	4.0	3.8	30.0	25.0	25.0	0.6	circle	1.0	200.0	1.8	60.0	120.0	960	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	0.0	infantry_light_effects	13	13	0.0	true	1.0	0.9	0	wh_main_generic_character_aura		0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0
azguz_bloodfist_dwarf_warriors_officer	man	1.5	3.0	3.0	4.0	3.8	30.0	25.0	25.0	0.6	circle	1.0	200.0	1.8	60.0	120.0	700	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	0.0	infantry_light_effects	13	13	0.0	true	1.0	0.9	0			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0
dargrimm_firebeard_dwarf_warriors_officer	man	1.5	3.0	3.0	4.0	3.8	30.0	25.0	25.0	0.6	circle	1.0	200.0	1.8	60.0	120.0	700	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	0.0	infantry_light_effects	13	13	0.0	true	1.0	0.9	0			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0
black_avangers_officer	man	1.5	3.0	3.0	4.0	3.8	30.0	25.0	25.0	0.6	circle	1.0	200.0	1.8	60.0	120.0	630	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	0.0	infantry_light_effects	13	13	0.0	true	1.0	0.9	0			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0
grudgebringer_crossbow_officer	man	1.5	3.0	3.0	4.0	3.8	30.0	25.0	25.0	0.6	circle	1.0	200.0	1.8	60.0	120.0	61	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	0.0	infantry_light_effects	13	13	0.0	true	1.0	0.9	0			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0
carlsson_cavalry_officer	man	1.5	3.0	3.0	4.0	3.8	30.0	25.0	25.0	0.6	circle	1.0	200.0	1.8	60.0	120.0	960	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	0.0	infantry_light_effects	13	13	0.0	true	1.0	0.9	0			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0
countess_guard_officer	man	1.5	3.0	3.0	4.0	3.8	30.0	25.0	25.0	0.6	circle	1.0	200.0	1.8	60.0	120.0	680	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	0.0	infantry_light_effects	13	13	0.0	true	1.0	0.9	0			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0
countess_guard_officer1	man	1.5	3.0	3.0	4.0	3.8	30.0	25.0	25.0	0.6	circle	1.0	200.0	1.8	60.0	120.0	680	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	0.0	infantry_light_effects	13	13	0.0	true	1.0	0.9	0			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0
vannheim_75th_officer	man	1.5	3.0	3.0	4.0	3.8	30.0	25.0	25.0	0.6	circle	1.0	200.0	1.8	60.0	120.0	960	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	0.0	infantry_light_effects	13	13	0.0	true	1.0	0.9	0			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0
