unit_variants_tables	5
faction	name	unit	variant	unit_card
	elo_chief_ugma	elo_chief_ugma	elo_chief_ugma	elo_chief_ugma
	elo_carrion_gobbo_bow	elo_carrion_gobbo_bow	elo_carrion_gobbo_bow	elo_carrion_gobbo_bow
	elo_carrion_squig_hoppers	elo_carrion_squig_hoppers	elo_carrion_squig_hoppers	elo_carrion_squig_hoppers
	elo_carrion_gobbo_melee	elo_carrion_gobbo_melee	elo_carrion_gobbo_melee	elo_carrion_gobbo_melee
	elo_night_trolls_ror	elo_night_trolls_ror	elo_night_trolls_ror	elo_night_trolls_ror
	elo_armoured_icetrolls	elo_armoured_icetrolls	elo_armoured_icetrolls	elo_armoured_icetrolls
	elo_southern_trolls	elo_southern_trolls	elo_southern_trolls	southern_trolls
	elo_red_avalanche	elo_red_avalanche	elo_red_avalanche	elo_red_avalanche
	elo_river_trolls	elo_river_trolls	elo_river_trolls	elo_river_trolls
	elo_mountain_trolls	elo_mountain_trolls	elo_mountain_trolls	elo_mountain_trolls
	elo_shipwreckers	elo_shipwreckers	elo_shipwreckers	elo_shipwreckers
	elo_cha_troll_lord	elo_cha_troll_lord	elo_cha_troll_lord	elo_cha_troll_lord
	elo_kin	elo_kin	elo_kin	elo_kin
	elo_forest_trolls	elo_forest_trolls	elo_forest_trolls	elo_forest_trolls
	elo_bile_trolls	elo_bile_trolls	elo_bile_trolls	elo_bile_trolls
	elo_snow_troll	elo_snow_troll	elo_snow_troll	elo_snow_troll
	ovn_trl_inf_stone_throw_troll	ovn_trl_inf_stone_throw_troll	ovn_trl_stone_throw_troll	robie_troll_bonethrower
	elo_lava_trolls	elo_lava_trolls	elo_lava_trolls	elo_lava_trolls
	elo_warpstone_trolls	elo_warpstone_trolls	elo_warpstone_trolls	elo_warpstone_trolls
	elo_sea_troll	elo_sea_troll	elo_sea_troll	elo_sea_troll
