bonus_value_id	effect	unit_set_attribute
#effect_bonus_value_unit_set_unit_attribute_junctions_tables;0;db/effect_bonus_value_unit_set_unit_attribute_junctions_tables/ovn		
enable	enable_expandable_animals	enable_expandable_animals
enable	enable_unspottable_thieves	enable_unspottable_thieves
enable	enable_stalk_falian	enable_stalk_falian
enable	enable_vanguard_falian	enable_vanguard_falian
enable	enable_immpsy_finian	enable_immpsy_finian
enable	fimir_untamed_monsters_guerilla	fimir_untamed_monsters_guerilla
enable	fimir_untamed_monsters_rampage	fimir_untamed_monsters_rampage
enable	elo_belakor_armoured_warriors_imm_psy	elo_belakor_armoured_warriors_imm_psy
enable	elo_belakor_corrupted_giants_fatigue_res	elo_belakor_corrupted_giants_fatigue_res
enable	elo_toostupid_psy	elo_toostupid_psy
enable	elo_scourge_fat	elo_scourge_fat
enable	elo_danger_gue	elo_danger_gue
