bonus_value_id	effect	name_record
#effect_bonus_value_name_record_junctions_tables;1;db/effect_bonus_value_name_record_junctions_tables/ovn		
active	grudge_effect_name_dummy_vladimir_stormbringer	3110890039
active	grudge_effect_name_dummy_luther_flamestrike	3110890041
active	grudge_effect_name_dummy_vladimir_stormbringer	3110890040
priority	grudge_effect_name_dummy_vladimir_stormbringer	3110890039
priority	grudge_effect_name_dummy_vladimir_stormbringer	3110890040
priority	grudge_effect_name_dummy_luther_flamestrike	3110890041
priority	grudge_effect_name_dummy_luther_flamestrike	3110890042
priority	grudge_effect_name_dummy_alloy	3110890043
priority	grudge_effect_name_dummy_alloy	3110890044
active	grudge_effect_name_dummy_luther_flamestrike	3110890042
active	grudge_effect_name_dummy_alloy	3110890043
active	grudge_effect_name_dummy_alloy	3110890044
priority	grudge_effect_name_dummy_gunther	3110890045
priority	grudge_effect_name_dummy_gunther	3110890046
active	grudge_effect_name_dummy_gunther	3110890045
active	grudge_effect_name_dummy_gunther	3110890046
priority	grudge_effect_name_dummy_ubersbrom	3110890047
priority	grudge_effect_name_dummy_ubersbrom	3110890048
active	grudge_effect_name_dummy_ubersbrom	3110890047
active	grudge_effect_name_dummy_ubersbrom	3110890048
priority	dk_trait_name_dummy	3110890049
active	dk_trait_name_dummy	3110890049
active	ovn_rasknitt_name	638517960
