character_skills_to_quest_ancillaries_tables	1
ancillary	skill	use_quest_for_prefix
grudge_anc_rune_rune_of_fury	grudge_skill_rune_of_fury	false
grudge_anc_rune_rune_of_might	grudge_skill_rune_of_might	false
grudge_anc_rune_rune_of_parrying	grudge_skill_rune_of_parrying	false
grudge_anc_rune_rune_of_striking	grudge_skill_rune_of_striking	false
grudge_item_horn_of_urgok	grudge_skill_horn_of_urgok	false
grudge_item_grudgebringer_sword	grudge_skill_grudgebringer_sword	false
grudge_item_hellfire_sword	grudge_skill_hellfire_sword	false
grudge_item_storm_sword	grudge_skill_storm_sword	false
grudge_item_runefang	grudge_skill_runefang	false
grudge_item_enchanted_shield	grudge_skill_enchanted_shield	false
grudge_item_shield_of_ptolos	grudge_skill_shield_of_ptolos	false
grudge_item_spelleater_shield	grudge_skill_spelleater_shield	false
grudge_item_dragonhelm	grudge_skill_dragonhelm	false
grudge_item_wand_of_jet	grudge_skill_wand_of_jet	false
grudge_item_banner_of_arcane_warding	grudge_skill_banner_of_arcane_warding	false
grudge_item_banner_of_wrath	grudge_skill_banner_of_wrath	false
grudge_item_banner_of_defiance	grudge_skill_banner_of_defiance	false
