resource_ui_overrides_tables	0
override_faction	override_subculture	source_resource	target_resource
	wh2_dlc09_sc_tmb_tomb_kings	res_location_araby	
	wh2_main_sc_lzd_lizardmen	res_location_araby	
	wh_main_sc_dwf_dwarfs	res_location_araby	
	wh2_dlc11_sc_cst_vampire_coast	res_location_araby	
	wh2_main_sc_def_dark_elves	res_location_araby	
	wh2_main_sc_skv_skaven	res_location_araby	
	wh_dlc03_sc_bst_beastmen	res_location_araby	
	wh_main_sc_chs_chaos	res_location_araby	
	wh_main_sc_emp_empire	res_location_araby	
	wh_main_sc_grn_greenskins	res_location_araby	
	wh_main_sc_nor_norsca	res_location_araby	
	wh_main_sc_vmp_vampire_counts	res_location_araby	
	wh2_main_sc_hef_high_elves	res_location_araby	
	wh_dlc05_sc_wef_wood_elves	res_location_araby	
	wh_main_sc_brt_bretonnia	res_location_araby	
	wh2_main_rogue_troll_skullz	res_location_araby	
	wh2_dlc11_sc_cst_vampire_coast	res_location_chorfs	
	wh2_main_sc_def_dark_elves	res_location_chorfs	
	wh2_main_sc_lzd_lizardmen	res_location_chorfs	
	wh2_main_sc_skv_skaven	res_location_chorfs	
	wh_dlc03_sc_bst_beastmen	res_location_chorfs	
	wh_main_sc_chs_chaos	res_location_chorfs	
	wh_main_sc_emp_empire	res_location_chorfs	
	wh_main_sc_grn_greenskins	res_location_chorfs	
	wh_main_sc_nor_norsca	res_location_chorfs	
	wh_main_sc_vmp_vampire_counts	res_location_chorfs	
	wh2_main_sc_hef_high_elves	res_location_chorfs	
	wh_dlc05_sc_wef_wood_elves	res_location_chorfs	
	wh_main_sc_brt_bretonnia	res_location_chorfs	
	wh_main_sc_nor_fimir	res_location_chorfs	
	wh_main_sc_nor_troll	res_location_chorfs	
	wh_main_sc_lzd_amazon	res_location_chorfs	
	wh_main_sc_emp_araby	res_location_chorfs	
	wh_main_sc_nor_albion	res_location_chorfs	
	wh_main_sc_nor_warp	res_location_araby	
	wh_main_sc_nor_fimir	res_location_araby	
	wh_main_sc_nor_troll	res_location_araby	
	wh_main_sc_lzd_amazon	res_location_araby	
	wh_main_sc_nor_albion	res_location_araby	
wh_dlc08_nor_naglfarlings		res_location_chorfs	
