campaign	source	target	attitude_base	negative_attitude_multiplier	positive_attitude_multiplier
#campaign_cultural_relations_tables;0;db/campaign_cultural_relations_tables/ovn_albion_sc					
	wh2_dlc11_sc_cst_vampire_coast	wh_main_sc_nor_albion	-20.0	1.0	1.0
	wh2_main_sc_def_dark_elves	wh_main_sc_nor_albion	-40.0	1.0	1.0
	wh2_main_sc_hef_high_elves	wh_main_sc_nor_albion	5.0	1.0	1.0
	wh2_main_sc_lzd_lizardmen	wh_main_sc_nor_albion	10.0	1.0	1.0
	wh2_main_sc_skv_skaven	wh_main_sc_nor_albion	-20.0	1.0	1.0
	wh_dlc03_sc_bst_beastmen	wh_main_sc_nor_albion	-60.0	1.0	1.0
	wh_dlc05_sc_wef_wood_elves	wh_main_sc_nor_albion	0.0	1.0	1.0
	wh_main_sc_brt_bretonnia	wh_main_sc_nor_albion	0.0	1.0	1.0
	wh_main_sc_chs_chaos	wh_main_sc_nor_albion	-100.0	1.0	1.0
	wh_main_sc_dwf_dwarfs	wh_main_sc_nor_albion	0.0	1.0	1.0
	wh_main_sc_emp_empire	wh_main_sc_nor_albion	0.0	1.0	1.0
	wh_main_sc_grn_greenskins	wh_main_sc_nor_albion	0.0	1.0	1.0
	wh_main_sc_grn_savage_orcs	wh_main_sc_nor_albion	0.0	1.0	1.0
	wh_main_sc_ksl_kislev	wh_main_sc_nor_albion	0.0	1.0	1.0
	wh_main_sc_nor_albion	wh2_dlc11_sc_cst_vampire_coast	-20.0	1.0	1.0
	wh_main_sc_nor_albion	wh2_main_sc_def_dark_elves	-40.0	1.0	1.0
	wh_main_sc_nor_albion	wh2_main_sc_hef_high_elves	5.0	1.0	1.0
	wh_main_sc_nor_albion	wh2_main_sc_lzd_lizardmen	10.0	1.0	1.0
	wh_main_sc_nor_albion	wh2_main_sc_skv_skaven	-20.0	1.0	1.0
	wh_main_sc_nor_albion	wh_dlc03_sc_bst_beastmen	-60.0	1.0	1.0
	wh_main_sc_nor_albion	wh_dlc05_sc_wef_wood_elves	0.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_brt_bretonnia	0.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_chs_chaos	-100.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_dwf_dwarfs	0.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_emp_empire	0.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_grn_greenskins	0.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_grn_savage_orcs	0.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_ksl_kislev	0.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_nor_albion	20.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_teb_teb	-40.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_vmp_vampire_counts	-40.0	1.0	1.0
	wh_main_sc_teb_teb	wh_main_sc_nor_albion	-15.0	1.0	1.0
	wh_main_sc_vmp_vampire_counts	wh_main_sc_nor_albion	-40.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_nor_fimir	-12.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_nor_troll	-30.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_nor_warp	-40.0	1.0	1.0
	wh_main_sc_nor_norsca	wh_main_sc_nor_albion	-25.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_nor_norsca	-25.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_emp_araby	0.0	1.0	1.0
	wh_main_sc_nor_albion	wh_main_sc_lzd_amazon	0.0	1.0	1.0
	wh_main_sc_nor_albion	wh2_dlc09_sc_tmb_tomb_kings	-25.0	1.0	1.0
	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_nor_albion	-25.0	1.0	1.0
