Loc PackedFile	1
key	text	tooltip
technologies_onscreen_name_elo_halfling_good_pots	High Quality Pots	false
technologies_short_description_elo_halfling_good_pots	Every Halfling must possess at least one pot of sufficient quality to serve as a helmet if needed. The overwhelming majority has several though.	false
technologies_onscreen_name_elo_halfling_farmer_tools	Weaponized Tools	false
technologies_short_description_elo_halfling_farmer_tools	Every Halfling must have at least one tool which can be used as a weapon to arm themselves in case of emergency.	false
technologies_onscreen_name_elo_halfling_training	Militia Training	false
technologies_short_description_elo_halfling_training	The Militia receives regular training from professionals to improve their fighting. There is a big picnic after, mostly to make sure the members of the Militia show up.	false
technologies_onscreen_name_elo_halfling_housewifes	Reap and Tear	false
technologies_short_description_elo_halfling_housewifes	In peaceful times, these machines are used to quickly reap corn. In wartimes, they mow down enemies almost as efficiently.	false
technologies_onscreen_name_elo_halfling_farmer_tools_2	Experienced Harvesters	false
technologies_short_description_elo_halfling_farmer_tools_2	Most Halflings are rather skilful users of the tools of their trade.	false
technologies_onscreen_name_elo_halfling_fields	Agricultural Economy	false
technologies_short_description_elo_halfling_fields	The Mootland is one of the main exporters of agricultural goods of the Empire.	false
technologies_onscreen_name_elo_halfling_borrowing	Borrowing	false
technologies_short_description_elo_halfling_borrowing	Halflings don't understand the concept of stealing, after all they are merely borrowing items... permanently.	false
technologies_onscreen_name_elo_halfling_tobacco_1	Smokeleaf Plantages 	false
technologies_short_description_elo_halfling_tobacco_1	The Moot is famous for its production of smokeleaf, one of its main sources of wealth.	false
technologies_onscreen_name_elo_halfling_tobacco_2	Gipfel Tobacco	false
technologies_short_description_elo_halfling_tobacco_2	Gipfel Tobacco is considered one of - if not the - best kinds of tobacco produced in the old World. As expected it is also one of the more expensive ones.	false
technologies_onscreen_name_elo_halfling_trade_1	Traders	false
technologies_short_description_elo_halfling_trade_1	Halflings are surprisingly ruthless and cunning traders.	false
technologies_onscreen_name_elo_halfling_trade_2	Advertisement	false
technologies_short_description_elo_halfling_trade_2	Representatives of the Mootland Tobacco industry are known to wander around the Empire, giving out free samples of their famous tobacco. The accusations that they mix in addictive substances is surely just a mean spirited rumour of jealous competitors.	false
technologies_onscreen_name_elo_halfling_animals	Animal Handlers	false
