cdir_military_generator_unit_qualities_tables	1
group_key	quality	unit_key
Default_land_infantry_melee	500	grudgebringer_infantry
Default_land_artillery	500	grudgebringer_cannon
Default_land_cavalry_melee	500	grudgebringer_cavalry
Default_land_infantry_missile	500	grudgebringer_crossbow
Default_land_infantry_missile	500	helmgart_bowmen
Default_land_infantry_missile	500	keelers_longbows
Default_land_infantry_melee	500	dargrimm_firebeard_dwarf_warriors
Default_land_infantry_melee	500	azguz_bloodfist_dwarf_warriors
Default_land_infantry_monterous	500	urblab_rotgut_mercenary_ogres
Default_land_monster	500	treeman_knarlroot
Default_land_infantry_melee	500	elrod_wood_elf_glade_guards
Default_land_infantry_missile	500	galed_elf_archers
Default_land_infantry_melee	500	black_avangers
Default_land_infantry_melee	500	carlsson_guard
Default_land_cavalry_melee	500	carlsson_cavalry
Default_land_infantry_melee	500	countess_guard
Default_land_cavalry_melee	500	vannheim_75th
Default_land_monster	500	treeman_gnarl_fist
Default_land_cavalry_melee	500	ragnar_wolves
Default_land_infantry_melee	500	ceridan
