effect_bonus_value_unit_ability_junctions_tables	0
effect	bonus_value_id	unit_ability
ovn_arb_baz_ei_12_twilight_mirror_shard_ability	enable	ovn_arb_baz_ei_12_twilight_mirror_shard_ability
ovn_arb_baz_wep_10_vengeful_sword_heal	enable	ovn_arb_baz_wep_10_vengeful_sword_heal
ovn_arb_baz_wep_10_vengeful_sword_damage_self	enable	ovn_arb_baz_wep_10_vengeful_sword_damage_self
ovn_arb_baz_wep_08_matyr_shard_ability	enable	ovn_arb_baz_wep_08_matyr_shard_ability
ovn_arb_baz_heal	enable	ovn_arb_baz_heal
ovn_arb_baz_arm_09_faith_shield_ability	enable	ovn_arb_baz_arm_09_faith_shield_ability
ovn_arb_baz_arm_08_gorgon_shield_ability	enable	ovn_arb_baz_arm_08_gorgon_shield_ability
smokeleaf_smokescreen	enable	smokeleaf_smokescreen
ovn_arb_baz_escape	enable	ovn_arb_baz_escape
