ancillary	art_set	uniform
#campaign_character_uniform_ancillary_junctions_tables;0;db/campaign_character_uniform_ancillary_junctions_tables/ovn		
ovn_anc_mount_arb_magician_life_magic_carpet	ovn_art_set_arb_magician_life	ovn_uniform_arb_magician_life_carpet
ovn_anc_mount_arb_magician_desert_magic_carpet	ovn_art_set_arb_magician_desert	ovn_uniform_arb_magicican_desert_carpet
ovn_anc_mount_arb_magician_fire_magic_carpet	ovn_art_set_arb_magician_fire	ovn_uniform_arb_magicican_fire_carpet
ovn_anc_mount_arb_magician_heavens_magic_carpet	ovn_art_set_arb_magician_heavens	ovn_uniform_arb_magician_heavens_carpet
roy_anc_mount_arb_nomad_assassin	wh2_main_art_set_roy_arb_nomad_assassin_01	ovn_arb_cha_nomad_assassin_uniform_01
roy_anc_mount_arb_nomad_assassin	wh2_main_art_set_roy_arb_nomad_assassin_02	ovn_arb_cha_nomad_assassin_uniform_02
roy_anc_mount_arb_nomad_assassin	wh2_main_art_set_roy_arb_nomad_assassin_03	ovn_arb_cha_nomad_assassin_uniform_03
roy_anc_mount_arb_nomad_horse_jezzail	wh2_main_art_set_roy_arb_nomad_jezzail_01	ovn_arb_cha_nomad_jezzail_uniform_01
roy_anc_mount_arb_nomad_horse_jezzail	wh2_main_art_set_roy_arb_nomad_jezzail_02	ovn_arb_cha_nomad_jezzail_uniform_02
roy_anc_mount_arb_nomad_horse_jezzail	wh2_main_art_set_roy_arb_nomad_jezzail_03	ovn_arb_cha_nomad_jezzail_uniform_03
arb_jaffar_camel	Sultan_Jaffar	Sultan_Jaffar_horse
ribspreader_mammoth	ribspreader_campaign	ribspreader_campaign
arb_golden_magus_camel_mount	arb_golden_magus	arb_golden_magus_camel
ovn_wolf_anc_mount_hlf_moot_general_poultry	ovn_hlf_moot_general	ovn_hlf_moot_general_1_poultry
ovn_wolf_anc_mount_hlf_moot_general_poultry	ovn_hlf_moot_general_1	ovn_hlf_moot_general_2_poultry
ovn_wolf_anc_mount_hlf_master_chef_wagon	ovn_hlf_master_chef_01	ovn_hlf_master_chef_wagon
ovn_wolf_anc_mount_hlf_master_chef_wagon	ovn_hlf_master_chef_02	ovn_hlf_master_chef_1_wagon
