pooled_resources_tables	5
key	maximum	minimum	persistent_factors	ai_ignored	default_factor	optional_icon_path
ovn_araby_victories_lzd	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_dwarfs	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_def	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_hef	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_men	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_undead	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_chaos	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_skv	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_nor	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_we	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_grn	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_bst	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
ovn_araby_victories_tmb	5000	0	false	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png
