unit_attributes_to_groups_junctions_tables	2
attribute	attribute_group
causes_fear	fear_immune_to_psy
immune_to_psychology	fear_immune_to_psy
causes_fear	fear_forest_nopen
guerrilla_deploy	fear_forest_nopen
strider	fear_forest_nopen
causes_fear	fear_terror_chargereflector
causes_terror	fear_terror_chargereflector
charge_reflector	fear_terror_chargereflector
causes_fear	fear_wallbreaker
wallbreaker	fear_wallbreaker
causes_fear	encourage_fear_hideForest_wallbreaker
wallbreaker	encourage_fear_hideForest_wallbreaker
encourages	encourage_fear_hideForest_wallbreaker
hide_forest	encourage_fear_hideForest_wallbreaker
