battle_entity_stats_tables	2
key	primary_melee_weapon	primary_missile_weapon
grudgebringer_infantry_officer	grudgebringer_infantry_sword_officer	
grudgebringer_cavalry_officer	grudgebringer_cavalry_sword_officer	
azguz_bloodfist_dwarf_warriors_officer	wh_dlc06_dwf_axe_dragonfire	
dargrimm_firebeard_dwarf_warriors_officer	wh_dlc06_dwf_axe_dragonfire	
carlsson_cavalry_officer	wh_dlc07_brt_sword_great_questing	
black_avangers_officer	black_avangers_sword_officer	
countess_guard_officer	wh_dlc04_emp_sigmars_sons_sword	
countess_guard_officer1	wh_main_emp_sword_great	
vannheim_75th_officer	vannheim_75th_sword	
