special_ability_groups_to_units_junctions_tables	0
ability_group	unit
wh_main_lore_fire	arb_vizier_fire_0
wh_main_lore_fire	arb_vizier_fire_1
wh_main_lore_fire	arb_vizier_fire_2
wh_dlc05_lore_life	arb_vizier_life_0
wh_dlc05_lore_life	arb_vizier_life_1
wh_dlc05_lore_life	arb_vizier_life_2
wh_main_lore_heavens	arb_vizier_heavens_0
wh_main_lore_heavens	arb_vizier_heavens_1
wh_main_lore_heavens	arb_vizier_heavens_2
ovn_lore_desert	arb_vizier_desert_0
ovn_lore_desert	arb_vizier_desert_1
ovn_lore_desert	arb_vizier_desert_2
