special_ability_to_special_ability_phase_junctions_tables	1
order	phase	special_ability
1	spell_ice_shield_of_cold	spell_ice_shield_of_cold
1	spell_ice_shield_of_cold_upgraded	spell_ice_shield_of_cold_upgraded
1	spell_ice_frost_blade	spell_ice_frost_blade
1	spell_ice_frost_blade_upgraded	spell_ice_frost_blade_upgraded
1	spell_ice_crisping_cold	spell_ice_crisping_cold
1	spell_ice_crisping_cold_upgraded	spell_ice_crisping_cold_upgraded
1	spell_ice_shattering_frost1	spell_ice_shattering_frost
1	spell_ice_shattering_frost_upgraded1	spell_ice_shattering_frost_upgraded
1	spell_ice_chill1	spell_ice_chill
1	spell_ice_chill_upgraded1	spell_ice_chill_upgraded
1	lore_passive_ice_cold	lore_passive_ice_cold
1	spell_ice_blinding_blizzard1	spell_ice_blinding_blizzard
1	spell_ice_blinding_blizzard_upgraded1	spell_ice_blinding_blizzard_upgraded
1	spell_ice_ice_blizzard	spell_ice_ice_blizzard
1	spell_ice_ice_blizzard_upgraded	spell_ice_ice_blizzard_upgraded
1	spell_ice_tempest	spell_ice_tempest
1	spell_ice_tempest_upgraded	spell_ice_tempest_upgraded
1	lore_passive_ice_winter	lore_passive_ice_winter
1	grudge_ballistics_calibration1	grudge_ballistics_calibration1
1	grudge_ballistics_calibration2	grudge_ballistics_calibration2
1	grudge_ballistics_calibration3	grudge_ballistics_calibration3
1	grudge_explosion1	grudge_explosion1
1	grudge_apexplosion1	grudge_apexplosion1
1	grudge_explosion2	grudge_explosion2
1	grudge_apexplosion2	grudge_apexplosion2
1	grudge_explosion3	grudge_explosion3
1	grudge_apexplosion3	grudge_apexplosion3
1	wh_main_weapon_abilities_the_reikland_runefang	grudge_weapon_abilities_the_reikland_runefang
1	grudge_weapon_abilities_hellfire_sword	grudge_weapon_abilities_hellfire_sword
1	grudge_item_abilities_horn_of_urgok	grudge_item_abilities_horn_of_urgok
1	grudge_item_abilities_banner_of_arcane_warding	grudge_item_abilities_banner_of_arcane_warding
1	grudge_item_abilities_spelleater_shield	grudge_item_abilities_spelleater_shield
1	grudge_ability_swiftness_of_itzl	grudge_ability_swiftness_of_itzl
1	grudge_ability_skv_verminous_valour	grudge_ability_skv_verminous_valour
