land_units_tables	44
accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	key	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	animal	num_animals	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	can_brace
10	wh2_main_body_15	2100	inf_melee	32	spcl	11	61	wh_dlc03_unit_long_text_bst_razorgor_herd	half_pig	bo1_razorgor	bl_half_pig	22	18	40	100			0	0	halfling_pigs		2	none	half_pig	wh_dlc03_bst_razorgor	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_hideForest	60	80	0	false	vo_sel_beastmen_razorgor	vo_sel_default	vo_sel_culture	1.0	6.0	small	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	true
10	wh2_main_leather_20	2100	inf_ranged	4	inf_mis	1	8	wh2_dlc13_unit_long_text_emp_crossbowmen_ror	halfling_milittia_arch	hu3_dwarf_axe_shield_and_bow	wh_main_dwf_inf_dwarfs_blood_dismembers	12	20	50	60			0	0	wh_main_emp_sword_short	militia_crossbow	4	none	halfling_milittia_arch	wh_main_infantry_ranged	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_expendable_hideForest	60	80	10	false	vo_sel_archers	vo_sel_ranged	vo_sel_generic_short	1.0	10.0	small	0	22	0	15	0	0	0	0	ranged	true	false	false	true
10	wh2_main_leather_25	2100	inf_melee	14	inf_mel	20	33	wh_main_unit_long_text_dwf_dwarf_warriors	halfling_milittia_great	hu3_dwarf_2handed_axe	wh_main_dwf_inf_dwarfs_blood_dismembers	22	30	50	64			0	0	halfling_great_weapons_militia		8	none	halfling_milittia_great	wh_main_dwf_infantry_standard	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_expendable_hideForest	60	80	0	false	vo_sel_dwarf_warriors	vo_sel_generic	vo_sel_generic_short	1.0	10.0	small	0	0	0	15	0	0	0	0	melee	false	false	false	true
10	wh2_main_chainmail_40	2100	inf_melee	18	inf_mel	20	33	wh_main_unit_long_text_dwf_dwarf_warriors	halfling_warden_great	hu3_dwarf_2handed_axe	wh_main_dwf_inf_dwarfs_blood_dismembers	26	34	60	70			0	0	halfling_meat_tenderizer		8	none	halfling_warden_great	wh_main_dwf_infantry_standard	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_hideForest	60	80	0	false	vo_sel_dwarf_warriors	vo_sel_generic	vo_sel_generic_short	1.0	10.0	small	0	0	0	15	0	0	0	0	melee	false	false	false	true
10	wh2_main_body_60	2100	inf_melee	50	inf_mel	20	33	wh2_main_unit_long_text_hef_mon_sun_dragon	hlf_baby_dragon	dr1_dragon	baby_dragon	40	38	60	4500			0	0	baby_sun_dragon		1	none	hlf_baby_dragon	wh_main_monster	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_fear_terror	60	80	10	false	vo_sel_hef_Sun_Dragon	vo_sel_melee	vo_sel_culture	1.0	0.0	large	0	0	0	0	0	0	25	0	flying_melee_flanker	false	false	false	true
10	wh2_main_chainmail_40	2100	inf_melee	0	spcl	20	10	wh_main_unit_long_text_dwf_thorgrim_grudgebearer	hlf_roast_pig	th1_dwarf_throneofpower	plate_food	0	30	75	3500			0	0	roasted_pig		1	none	hlf_roast_pig	wh_main_dwf_infantry_standard	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_encourage	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0	10.0	large	0	0	0	15	0	0	15	0	melee_highvalue	false	false	false	true
0	wh2_main_body_70	2100	war_machine	28	spcl	13	10	wh_main_unit_long_text_dwf_dwarf_warriors	elo_supply_wagon	hu3_dwarf_hammer	wh_main_infantry_rider	20	16	60	1000	ovn_mtl_auroch		0	2	supply_wagon_elo		1	none	elo_supply_wagon	wh_main_chariot	placeholder	false	trained	ovn_mtl_chuckwagon_officer	ovn_mtl_chuckwagon	ovn_mtl_veh_chuckwagon	false	40.0	1500.0	0.0	wh_encourage	60	80	0	false	vo_sel_default	vo_sel_default	vo_sel_culture	1.0	10.0	large	0	0	0	15	4	0	15	0	melee_cav_shock_highvalue	false	false	false	false
10	wh2_main_leather_20	2100	inf_ranged	4	inf_mis	1	7	wh_main_unit_long_text_brt_peasant_bowmen	halfling_archer	hu3_dwarf_axe_shield_and_bow	wh_main_dwf_inf_dwarfs_rangers_blood_dismembers	16	32	60	52			0	0	wh_dlc04_emp_free_company_sword	crossbow_light_halfling	5	none	halfling_archer	wh_main_infantry_ranged	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_guerrilla_stalk	60	80	10	false	vo_sel_default	vo_sel_missile	vo_sel_culture	0.8	10.0	small	0	22	0	15	0	0	0	0	ranged_stalkers	true	false	false	true
10	wh2_main_chainmail_40	2100	inf_melee	12	inf_mel	20	33	wh_main_unit_long_text_dwf_dwarf_warriors	halfling_inf	hu3_dwarf_axe_and_shield	wh_main_dwf_inf_dwarfs_blood_dismembers	22	40	60	64			0	0	wh_main_emp_sword		8	wh_missile_block_30_wood	halfling_inf	wh_main_dwf_infantry_standard_shield	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_hideForest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	0.8	10.0	small	0	0	0	15	0	0	0	0	melee	false	false	false	true
10	wh2_main_chainmail_80	2100	inf_melee	12	inf_mel	20	33	wh_main_unit_long_text_dwf_dwarf_warriors	halfling_warfoot	hu3_dwarf_axe_and_shield	wh_main_dwf_inf_dwarfs_blood_dismembers	34	47	74	72			0	0	wh_main_emp_greatsword		8	wh_missile_block_55_wood	halfling_warfoot	wh_main_dwf_infantry_standard_shield	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_guerrilla_stalk_immPsy	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	0.8	10.0	small	0	0	0	15	0	0	0	5	melee	false	false	false	true
