variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/ovn_fimir							
ovn_shearl		ovn_shearl		1.0	0.65	0.05	
ovn_fim_javelin_0		fim_fimir_javeliner		1.0	0.65	0.05	
ovn_fim_bog_beast	VariantMeshes\wh_variantmodels\lz1\fim\fim_bog_beast\tech	ovn_bog_beast	lz1/fim/fim_bog_beast/fim_bog_beast_imposter	2.0	1.0	0.0	
ovn_fim_bog_beast_rider		ovn_bog_beast_rider		1.0	1.0	0.0	
ovn_death_quest		ovn_death_quest		1.0	0.8	0.2	
ovn_killing_eye		ovn_killing_eye		1.0	0.8	0.1	
ovn_fianna_fimm		ovn_fianna_fimm		1.0	0.9	0.05	
ovn_gharnus_demon		ovn_gharnus_demon		1.0	1.1	0.05	
ovn_fimm		ovn_fimm_guard		1.0	1.0	0.05	
ovn_mistmor		ovn_mistmor		1.0	1.5	0.05	
ovn_boglar		ovn_boglar		1.0	0.85	0.1	
ovn_zoat		ovn_zoat		1.0	2.0	0.1	
aky_chief_fimir_great_weapons_1		aky_chief_fimir_great_weapons_1		1.0	1.2	0.0	
aky_chief_fimir_great_weapons_2		aky_chief_fimir_great_weapons_2		1.0	1.2	0.0	
aky_chief_fimir_great_weapons_3		aky_chief_fimir_great_weapons_3		1.0	1.2	0.0	
aky_chief_fimir_great_weapons_4		aky_chief_fimir_great_weapons_4		1.0	1.2	0.0	
ovn_fim_caster_0		nor_cha_fimir_balefiend		1.0	0.8	0.1	
ovn_marsh_hounds		ovn_marsh_hounds		1.0	1.0	0.05	
ovn_finmor		ovn_finmor		1.0	0.7	0.05	
fim_meargh_skattach		fim_meargh_skattach		1.0	1.2	0.0	
kho_bloodletter_summoned		kho_bloodletter		1.0	1.0	0.0	
wh_dlc08_nor_fimir_axe_OVN		nor_fimir_axe_OVN		1.0	0.8	0.05	
wh_dlc08_nor_fimir_great_weapons_OVN		nor_fimir_great_weapons_OVN		1.0	0.8	0.05	
