building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
ovn_cd_slave_1	wh2_main_effect_economy_gdp_slaves_def	building_to_building_own	10.0	5.0	0.0
ovn_cd_slave_1	wh2_main_effect_slave_income_modifier	province_to_province_own	10.0	10.0	0.0
ovn_cd_slave_2	wh2_main_effect_economy_gdp_slaves_def	building_to_building_own	15.0	8.0	0.0
ovn_cd_slave_2	wh2_main_effect_slave_decline_modifier	province_to_province_own	-50.0	-25.0	0.0
ovn_cd_slave_2	wh2_main_effect_slave_income_modifier	province_to_province_own	25.0	25.0	0.0
ovn_cd_slave_2	wh2_main_effect_slave_public_order_modifier	province_to_province_own	-30.0	-15.0	0.0
ovn_cd_work_1	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	4.0	2.0	0.0
ovn_cd_work_2	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	8.0	4.0	0.0
ovn_cd_work_3	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	12.0	8.0	0.0
ovn_chs_agent	wh_main_effect_agent_cap_increase_wizard_chaos_sorcerer	faction_to_faction_own_unseen	1.0	1.0	0.0
ovn_chs_agent	wh_main_effect_agent_enable_recruitment_wizard_chaos	province_to_province_own	1.0	1.0	0.0
ovn_chs_agent	wh_main_effect_agent_cap_increase_champion_exalted_hero	faction_to_faction_own_unseen	1.0	1.0	1.0
ovn_chs_agent	wh_main_effect_agent_enable_recruitment_champion_chaos	province_to_province_own	1.0	1.0	0.0
ovn_grn_agent	wh_main_effect_agent_cap_increase_wizard_orc_shaman	faction_to_faction_own_unseen	1.0	1.0	0.0
ovn_grn_agent	wh_main_effect_agent_enable_recruitment_wizard_greenskins_goblin_shaman	province_to_province_own	1.0	1.0	0.0
ovn_evil_income_1	wh_main_effect_economy_gdp_industry	building_to_building_own	200.0	100.0	0.0
ovn_evil_income_2	wh_main_effect_economy_gdp_industry	building_to_building_own	300.0	150.0	0.0
ovn_evil_income_3	wh_main_effect_economy_gdp_industry	building_to_building_own	400.0	200.0	0.0
ovn_evil_income_1	wh2_main_effect_slave_decline_modifier	province_to_province_own	5.0	4.0	0.0
ovn_evil_income_2	wh2_main_effect_slave_decline_modifier	province_to_province_own	10.0	8.0	0.0
ovn_evil_income_3	wh2_main_effect_slave_decline_modifier	province_to_province_own	15.0	12.0	0.0
ovn_nor_outpost_major_human_4	wh_main_effect_public_order_base	province_to_province_own	4.0	2.0	0.0
ovn_nor_outpost_major_human_4	wh_main_effect_religion_conversion_chaos	region_to_region_own	3.0	2.0	0.0
ovn_nor_outpost_major_human_4	wh_main_effect_economy_gdp_subsistance	building_to_building_own	40.0	20.0	0.0
ovn_nor_outpost_major_human_4	wh_main_effect_province_growth_building	region_to_province_own	10.0	5.0	0.0
ovn_nor_outpost_major_human_4	wh_main_effect_construction_slot_multiple_dummy	this_building	6.0	6.0	6.0
ovn_evil_income_1	wh_main_effect_public_order_base	province_to_province_own	-2.0	-4.0	0.0
ovn_evil_income_2	wh_main_effect_public_order_base	province_to_province_own	-4.0	-7.0	0.0
ovn_evil_income_3	wh_main_effect_public_order_base	province_to_province_own	-6.0	-10.0	0.0
wh_main_nor_outpost_military_4	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	15.0	15.0	0.0
wh_main_nor_outpost_garrison_4	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence	region_to_force_own	12.0	12.0	0.0
wh_main_nor_outpost_garrison_4	wh_main_effect_force_army_battle_unit_morale_siege_defence	region_to_force_own	7.0	7.0	0.0
wh_main_nor_outpost_garrison_4	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
wh_main_nor_outpost_garrison_4	wh_main_effect_textonly_walls	region_to_region_own	1.0	1.0	1.0
wh_main_nor_outpost_major_human_4_coast	wh_main_effect_public_order_base	province_to_province_own	4.0	2.0	0.0
wh_main_nor_outpost_major_human_4_coast	wh_main_effect_religion_conversion_chaos	region_to_region_own	3.0	2.0	0.0
wh_main_nor_outpost_major_human_4_coast	wh_main_effect_economy_gdp_subsistance	building_to_building_own	40.0	20.0	0.0
wh_main_nor_outpost_major_human_4_coast	wh_main_effect_province_growth_building	region_to_province_own	10.0	5.0	0.0
wh_main_nor_outpost_major_human_4_coast	wh_main_effect_construction_slot_multiple_dummy	this_building	6.0	6.0	6.0
