ancillaries_included_agent_subtypes_tables	0
agent_subtype	ancillary
morgan_bernhardt	grudge_item_horn_of_urgok
vladimir_stormbringer	grudge_item_horn_of_urgok
morgan_bernhardt	grudge_item_grudgebringer_sword
vladimir_stormbringer	grudge_item_grudgebringer_sword
morgan_bernhardt	grudge_item_hellfire_sword
vladimir_stormbringer	grudge_item_hellfire_sword
morgan_bernhardt	grudge_item_storm_sword
vladimir_stormbringer	grudge_item_storm_sword
morgan_bernhardt	grudge_item_runefang
vladimir_stormbringer	grudge_item_runefang
morgan_bernhardt	grudge_item_enchanted_shield
morgan_bernhardt	grudge_item_shield_of_ptolos
morgan_bernhardt	grudge_item_spelleater_shield
morgan_bernhardt	grudge_item_dragonhelm
vladimir_stormbringer	grudge_item_dragonhelm
vladimir_stormbringer	grudge_item_wand_of_jet
morgan_bernhardt	grudge_item_banner_of_arcane_warding
vladimir_stormbringer	grudge_item_banner_of_arcane_warding
morgan_bernhardt	grudge_item_banner_of_wrath
vladimir_stormbringer	grudge_item_banner_of_wrath
morgan_bernhardt	grudge_item_banner_of_defiance
vladimir_stormbringer	grudge_item_banner_of_defiance
