key	building_level	factorial_effect	value	scope
#campaign_building_level_factorial_effect_junctions_tables;2;db/campaign_building_level_factorial_effect_junctions_tables/hertz_foreign_building				
15467	hertz_rotblood_nurgle_corruption	skaven_discoverability_buildings	15	EFS_ONLY_OWNER
15468	hertz_rotblood_nurgle_corruption_2	skaven_discoverability_buildings	20	EFS_ONLY_OWNER
15469	hertz_rotblood_nurgle_corruption_3	skaven_discoverability_buildings	30	EFS_ONLY_OWNER
15470	hertz_rotblood_nurgle_income	skaven_discoverability_buildings	10	EFS_ONLY_OWNER
15471	hertz_rotblood_nurgle_income_2	skaven_discoverability_buildings	15	EFS_ONLY_OWNER
15472	hertz_rotblood_nurgle_income_3	skaven_discoverability_buildings	20	EFS_ONLY_OWNER
15473	hertz_rotblood_nurgle_fester_warren_1	skaven_discoverability_buildings	10	EFS_ONLY_OWNER
15474	hertz_rotblood_nurgle_fester_warren_2	skaven_discoverability_buildings	15	EFS_ONLY_OWNER
15475	hertz_rotblood_nurgle_fester_warren_3	skaven_discoverability_buildings	20	EFS_ONLY_OWNER
