banner	effect_bundle
#banners_tables;1;db/banners_tables/ovn	
albion_scary_banner	albion_scary_banner
anc_albion_triskele_banner	anc_albion_triskele_banner
anc_danu_banner	anc_danu_banner
anc_albion_hunter_banner	anc_albion_hunter_banner
grudge_banner_of_arcane_warding	grudge_bundle_banner_of_arcane_warding
grudge_banner_of_wrath	grudge_bundle_banner_of_wrath
grudge_banner_of_defiance	grudge_bundle_banner_of_defiance
ovn_anc_magic_standard_blood_dragon	ovn_anc_magic_standard_blood_dragon
ovn_anc_magic_standard_ptolos	ovn_anc_magic_standard_ptolos
