hint	key
#character_skill_utilization_hints_junctions_tables;0;db/character_skill_utilization_hints_junctions_tables/belakor	
USEFUL_ALWAYS	the_blade_of_shadows
USEFUL_ALWAYS	wh_dlc08_skill_chs_lord_unique_belakor_0
USEFUL_ALWAYS	wh_dlc08_skill_chs_lord_unique_belakor_1
USEFUL_ALWAYS	wh_dlc08_skill_chs_lord_unique_belakor_2
USEFUL_ALWAYS	wh_dlc08_skill_chs_lord_unique_belakor_3
USEFUL_ALWAYS	wh_dlc08_skill_chs_lord_unique_belakor_4
USEFUL_ALWAYS	wh_dlc08_skill_chs_lord_unique_belakor_5
USEFUL_ALWAYS	wh_dlc08_skill_chs_lord_unique_belakor_6
USEFUL_ALWAYS	belakor_innate_skill
USEFUL_ALWAYS	eons_of_spite
USEFUL_ALWAYS	the_first_deamon_prince
USEFUL_ALWAYS	primordial_everchosen
USEFUL_ALWAYS	timeless_rage
USEFUL_ALWAYS	chaos_incarnate
