cooking_ingredients_tables	3
faction_effects	faction_leader_effects	group	icon	key	vo_trigger
ovn_food_cereals_1		ovn_cereals	ui/skins/default/halfling_ingredients_spelt.png	ovn_spelt	
ovn_food_cereals_2		ovn_cereals	ui/skins/default/halfling_ingredients_rye.png	ovn_rye	
ovn_food_cereals_3		ovn_cereals	ui/skins/default/halfling_ingredients_teff.png	ovn_teff	
ovn_food_cereals_4		ovn_cereals	ui/skins/default/halfling_ingredients_emmer.png	ovn_emmer	
ovn_food_cereals_5		ovn_cereals	ui/skins/default/halfling_ingredients_rice.png	ovn_rice	
ovn_food_cereals_6		ovn_cereals	ui/skins/default/halfling_ingredients_maize.png	ovn_maize	
ovn_food_cereals_7		ovn_cereals	ui/skins/default/halfling_ingredients_barley.png	ovn_barley	
ovn_food_meats_1		ovn_meats	ui/skins/default/grom_ingredients_lion_leg.png	ovn_beef	
ovn_food_meats_2		ovn_meats	ui/skins/default/grom_ingredients_gold_fish.png	ovn_salmon	
ovn_food_meats_3		ovn_meats	ui/skins/default/grom_ingredients_troll.png	ovn_lamb	
ovn_food_meats_4		ovn_meats	ui/skins/default/grom_ingredients_tentacles.png	ovn_calamari	
ovn_food_meats_5		ovn_meats	ui/skins/default/grom_ingredients_boar.png	ovn_pork	
ovn_food_meats_6		ovn_meats	ui/skins/default/grom_ingredients_dragon.png	ovn_iguana	
ovn_food_meats_7		ovn_meats	ui/skins/default/grom_ingredients_phoenix_claws.png	ovn_turkey	
ovn_food_spices_1		ovn_spices	ui/skins/default/halfling_ingredients_fennel.png	ovn_fennel	
ovn_food_spices_2		ovn_spices	ui/skins/default/halfling_ingredients_juniper.png	ovn_juniper	
ovn_food_spices_3		ovn_spices	ui/skins/default/halfling_ingredients_cumin.png	ovn_cumin	
ovn_food_spices_4		ovn_spices	ui/skins/default/halfling_ingredients_marjoram.png	ovn_marjoram	
ovn_food_spices_5		ovn_spices	ui/skins/default/halfling_ingredients_cardamom.png	ovn_cardamom	
ovn_food_spices_6		ovn_spices	ui/skins/default/halfling_ingredients_vanilla.png	ovn_vanilla	
ovn_food_spices_7		ovn_spices	ui/skins/default/halfling_ingredients_pepper.png	ovn_pepper	
ovn_food_vegetables_1		ovn_vegetables	ui/skins/default/halfling_ingredients_lettuce.png	ovn_lettuce	
ovn_food_vegetables_2		ovn_vegetables	ui/skins/default/halfling_ingredients_kale.png	ovn_kale	
ovn_food_vegetables_3		ovn_vegetables	ui/skins/default/halfling_ingredients_lentil.png	ovn_lentil	
ovn_food_vegetables_4		ovn_vegetables	ui/skins/default/halfling_ingredients_olive.png	ovn_olive	
ovn_food_vegetables_5		ovn_vegetables	ui/skins/default/halfling_ingredients_garlic.png	ovn_onion	
ovn_food_vegetables_6		ovn_vegetables	ui/skins/default/halfling_ingredients_tomatoe.png	ovn_tomatoe	
ovn_food_vegetables_7		ovn_vegetables	ui/skins/default/halfling_ingredients_potatoe.png	ovn_potatoe	
ovn_food_fruits_1		ovn_fruits	ui/skins/default/halfling_ingredients_apple.png	ovn_apple	
ovn_food_fruits_2		ovn_fruits	ui/skins/default/halfling_ingredients_lingonberry.png	ovn_lingonberry	
ovn_food_fruits_3		ovn_fruits	ui/skins/default/halfling_ingredients_date.png	ovn_date	
ovn_food_fruits_4		ovn_fruits	ui/skins/default/halfling_ingredients_pomegranate.png	ovn_pomegranate	
ovn_food_fruits_5		ovn_fruits	ui/skins/default/halfling_ingredients_walnut.png	ovn_walnut	
ovn_food_fruits_6		ovn_fruits	ui/skins/default/halfling_ingredients_pitaya.png	ovn_pitaya	
ovn_food_fruits_7		ovn_fruits	ui/skins/default/halfling_ingredients_cranberry.png	ovn_cranberry	
