character_skill	character_skill_node	level
#character_skill_nodes_skill_locks_tables;0;db/character_skill_nodes_skill_locks_tables/araby_lord		
Chaos_Buff	wh_main_skill_node_ovn_araby_ll_unique_13	1
Order_Buff	wh_main_skill_node_ovn_araby_ll_unique_14	1
ovn_araby_tank_01	wh_main_skill_node_ovn_araby_ll_self_07	1
ovn_araby_duel_01	wh_main_skill_node_ovn_araby_ll_self_01	1
ovn_skill_magic_desert_mirage	wh_main_skill_node_ovn_araby_ll_self_01	1
ovn_skill_magic_desert_mirage	wh_main_skill_node_ovn_araby_ll_self_07	1
wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood	wh_main_skill_node_ovn_araby_ll_self_01	1
wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood	wh_main_skill_node_ovn_araby_ll_self_07	1
wh_main_skill_all_magic_heavens_01_harmonic_convergence	wh_main_skill_node_ovn_araby_ll_self_01	1
wh_main_skill_all_magic_heavens_01_harmonic_convergence	wh_main_skill_node_ovn_araby_ll_self_07	1
wh_main_skill_all_magic_fire_01_fireball	wh_main_skill_node_ovn_araby_ll_self_01	1
wh_main_skill_all_magic_fire_01_fireball	wh_main_skill_node_ovn_araby_ll_self_07	1
rattlesnake_staff	wh_main_skill_node_ovn_araby_ll_self_01	1
rattlesnake_staff	wh_main_skill_node_ovn_araby_ll_self_07	1
Chaos_Buff	wh_skill_node_arb_vizier_desert_generic_1	1
Order_Buff	wh_skill_node_arb_vizier_desert_generic_2	1
Chaos_Buff	wh_skill_node_arb_vizier_fire_generic_1	1
Order_Buff	wh_skill_node_arb_vizier_fire_generic_2	1
Chaos_Buff	wh_skill_node_arb_vizier_heavens_generic_1	1
Order_Buff	wh_skill_node_arb_vizier_heavens_generic_2	1
Chaos_Buff	wh_skill_node_arb_vizier_life_generic_1	1
Order_Buff	wh_skill_node_arb_vizier_life_generic_2	1
Chaos_Buff	wh2_main_skill_node_arb_golden_magus_generic_1	1
Order_Buff	wh2_main_skill_node_arb_golden_magus_generic_2	1
