base_unit	mounted_unit	icon_name
#units_custom_battle_mounts_tables;1;db/units_custom_battle_mounts_tables/ovn_lost_factions_gold		
ovn_arb_cha_magician_life_0	ovn_arb_cha_magician_life_1	ui/campaign ui/mounts/mount_djinn_vessel.png
ovn_arb_cha_magician_desert_0	ovn_arb_cha_magician_desert_1	ui/campaign ui/mounts/mount_djinn_vessel.png
ovn_arb_cha_magician_fire_0	ovn_arb_cha_magician_fire_1	ui/campaign ui/mounts/mount_djinn_vessel.png
ovn_arb_cha_magician_heavens_0	ovn_arb_cha_magician_heavens_1	ui/campaign ui/mounts/mount_djinn_vessel.png
ovn_arb_cha_magician_life_0	ovn_arb_cha_magician_life_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_arb_cha_magician_desert_0	ovn_arb_cha_magician_desert_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_arb_cha_magician_fire_0	ovn_arb_cha_magician_fire_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_arb_cha_magician_heavens_0	ovn_arb_cha_magician_heavens_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_araby_ll	wh_main_arb_cha_sheikh_2	ui/campaign ui/mounts/mount_mammoth.png
ovn_araby_ll_2	wh_main_arb_cha_sheikh_2_02	ui/campaign ui/mounts/mount_mammoth.png
Dread_King	Dread_King_2	ui/campaign ui/mounts/mount_zombie_dragon.png
elo_hand_of_nagash	elo_hand_of_nagash_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
aky_chief_wolf_werekin_0	aky_chief_wolf_werekin_1_terrorgheist	ui/campaign ui/mounts/mount_terrorgheist.png
roy_arb_cha_nomad	roy_arb_cha_nomad_horse	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
roy_arb_cha_champion	roy_arb_cha_champion_horse	ui/campaign ui/mounts/mount_warhorse.png
roy_arb_cha_champion	roy_arb_cha_champion_warhorse	ui/campaign ui/mounts/mount_barded_warhorse.png
roy_arb_cha_champion	roy_arb_cha_champion_elephant	ui/campaign ui/mounts/mount_mammoth.png
roy_arb_cha_nomad	roy_arb_cha_nomad_assassin	ui/campaign ui/mounts/mount_arb_assassin.png
roy_arb_cha_nomad	roy_arb_cha_nomad_horse_jezzail	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
ovn_araby_ll	ovn_araby_ll_mount	ui/campaign ui/mounts/mount_imperial_griffon.png
ovn_araby_ll	roy_arb_cha_lord_horse	ui/campaign ui/mounts/mount_warhorse.png
ovn_araby_ll_2	ovn_araby_ll_2_mount	ui/campaign ui/mounts/mount_imperial_griffon.png
ovn_araby_ll_2	roy_arb_cha_lord_horse_2	ui/campaign ui/mounts/mount_warhorse.png
Sultan_Jaffar	Sultan_Jaffar_camel	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
Sultan_Jaffar	Sultan_Jaffar_elephant	ui/campaign ui/mounts/mount_mammoth.png
albion_truthsayer_beast	albion_truthsayer_beast_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_truthsayer_life	albion_truthsayer_life_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_truthsayer_light	albion_truthsayer_light_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_truthsayer_truth	albion_truthsayer_truth_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_warleader	albion_warleader_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_warleader	albion_warleader_chariot	ui/campaign ui/mounts/mount_chaos_chariot.png
albion_chief	albion_chief_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_chief	albion_chief_chariot	ui/campaign ui/mounts/mount_chaos_chariot.png
albion_morrigan	albion_morrigan_bird	ui/campaign ui/mounts/mount_great_eagle.png
albion_wyrd_druid	albion_wyrd_druid_horse	ui/campaign ui/mounts/mount_warhorse.png
bl_elo_dural_durak	bl_elo_dural_durak_horse	ui/campaign ui/mounts/mount_warhorse.png
bl_elo_dural_durak	bl_elo_dural_durak_chariot	ui/campaign ui/mounts/mount_chaos_chariot.png
elo_dread_centurion	elo_dread_centurion_horse	ui/campaign ui/mounts/mount_skeletal_steed.png
elo_dread_centurion	elo_dread_centurion_barded_horse	ui/campaign ui/mounts/mount_barded_skeletal_steed.png
elo_dread_centurion	elo_dread_centurion_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
elo_liche_general	elo_liche_general_barded_steed	ui/campaign ui/mounts/mount_barded_skeletal_steed.png
elo_liche_general	elo_liche_general_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
elo_liche_general	elo_liche_general_warsphinx	ui/campaign ui/mounts/mount_warsphinx.png
arb_vizier_fire_0	arb_vizier_fire_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
arb_vizier_fire_0	arb_vizier_fire_2	ui/campaign ui/mounts/mount_magic_carpet.png
arb_vizier_life_0	arb_vizier_life_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
arb_vizier_life_0	arb_vizier_life_2	ui/campaign ui/mounts/mount_magic_carpet.png
arb_vizier_heavens_0	arb_vizier_heavens_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
arb_vizier_heavens_0	arb_vizier_heavens_2	ui/campaign ui/mounts/mount_magic_carpet.png
arb_vizier_desert_0	arb_vizier_desert_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
arb_vizier_desert_0	arb_vizier_desert_2	ui/campaign ui/mounts/mount_magic_carpet.png
ribspreader	ribspreader_mammoth	ui/campaign ui/mounts/mount_mammoth.png
ovn_stormrider	ovn_stormrider_mount	ui/campaign ui/mounts/mount_imperial_griffon.png
arb_fatandira	arb_fatandira_warhorse	ui/campaign ui/mounts/mount_warhorse.png
