political_parties_tables	7
key	playable	effect_bundle	initial_power	campaign_key
wh2_main_political_party_arb_aswad_scythans	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_arb_caliphate_of_araby	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_arb_flaming_scimitar	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_emp_grudgebringers	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_emp_the_moot	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_hef_citadel_of_dusk	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_amz_amazons	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_nor_albion	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_nor_trollz	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_vor_arb_aswad_scythans	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_hef_citadel_of_dusk	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_arb_caliphate_of_araby	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_arb_flaming_scimitar	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_amz_amazons	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_nor_albion	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_emp_grudgebringers	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
