special_ability_groups_to_unit_abilities_junctions_tables	1
special_ability_groups	unit_special_abilities
ovn_lore_desert	ovn_lore_passive_blessing_of_the_elements
ovn_lore_desert	ovn_spell_desert_mirage
ovn_lore_desert	ovn_spell_desert_sunstrike
ovn_lore_desert	ovn_spell_desert_sandstorm
ovn_lore_desert	ovn_spell_desert_quicksand
ovn_lore_desert	ovn_spell_desert_burning_hands
ovn_lore_desert	ovn_spell_desert_curse_of_the_djinn
elo_lore_truthsayer	spell_truth_gift_life
elo_lore_truthsayer	spell_truth_valor
elo_lore_truthsayer	spell_truth_protection
elo_lore_truthsayer	spell_truth_voice_command
elo_lore_truthsayer	spell_truth_boon_courage
elo_lore_truthsayer	wh2_main_lore_passive_truthsayer
elo_lore_truthsayer	spell_truth_wings_fate
elo_lore_morrigan	wh_dlc03_spell_beasts_flock_of_doom
elo_lore_morrigan	wh_dlc03_spell_beasts_transformation_of_kadon
elo_lore_morrigan	wh_dlc03_lore_passive_wild_heart
elo_lore_morrigan	wh_dlc05_spell_shadow_pit_of_shades
elo_lore_morrigan	wh_dlc05_spell_shadow_the_enfeebling_foe
elo_lore_morrigan	wh_main_spell_death_spirit_leech
elo_lore_morrigan	wh_main_spell_death_doom_and_darkness
elo_lore_wyrd	wh_dlc05_lore_passive_life_bloom
elo_lore_wyrd	wh_dlc05_spell_life_earth_blood
elo_lore_wyrd	wh_dlc03_spell_beasts_panns_impenetrable_pelt
elo_lore_wyrd	wh_dlc03_spell_beasts_wyssans_wildform
elo_lore_wyrd	wh_main_spell_light_light_of_battle
elo_lore_wyrd	spell_truth_wings_fate
elo_lore_wyrd	wh_main_spell_light_phas_protection
iz_troll	thiz_iz_troll
wh_main_lore_cold_witchering	spell_ice_shield_of_cold
wh_main_lore_cold_witchering	spell_ice_frost_blade
wh_main_lore_cold_witchering	spell_ice_crisping_cold
wh_main_lore_cold_witchering	spell_ice_shattering_frost
wh_main_lore_cold_witchering	spell_ice_chill
wh_main_lore_cold_witchering	spell_ice_blinding_blizzard
wh_main_lore_cold_witchering	lore_passive_ice_cold
wh_main_lore_winter_rage	spell_ice_ice_shards
wh_main_lore_winter_rage	spell_ice_storm_strike
wh_main_lore_winter_rage	spell_ice_chill_blast
wh_main_lore_winter_rage	spell_ice_ice_blizzard
wh_main_lore_winter_rage	spell_ice_tempest
wh_main_lore_winter_rage	spell_ice_hailstorm
wh_main_lore_winter_rage	lore_passive_ice_winter
ovn_lore_golden_magus	wh2_dlc11_spell_deep_tidecall
ovn_lore_golden_magus	wh2_dlc11_spell_deep_denizens_of_the_deep
ovn_lore_golden_magus	wh_main_spell_fire_the_burning_head
ovn_lore_golden_magus	wh_main_spell_fire_flame_storm
ovn_lore_golden_magus	wh_main_spell_heavens_harmonic_convergence
ovn_lore_golden_magus	wh_main_spell_heavens_urannons_thunderbolt
ovn_lore_golden_magus	wh_main_lore_passive_roiling_skies
ovn_lore_golden_magus	wh_main_lore_passive_kindleflame
ovn_lore_golden_magus	wh2_dlc11_lore_passive_kiss_of_the_deep
wh_main_lore_jaffar	wh_dlc05_lore_passive_smoke_and_mirrors
wh_main_lore_jaffar	ovn_lore_passive_blessing_of_the_elements
wh_main_lore_jaffar	wh_main_lore_passive_life_leeching
wh_main_lore_jaffar	wh_main_spell_death_spirit_leech
wh_main_lore_jaffar	wh_main_spell_death_doom_and_darkness
wh_main_lore_jaffar	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh_main_lore_jaffar	wh_dlc05_spell_shadow_the_enfeebling_foe
wh_main_lore_jaffar	ovn_spell_desert_mirage
wh_main_lore_jaffar	ovn_spell_desert_sandstorm
elo_lore_boglar	wh_main_lore_passive_sneaky_stealin
elo_lore_boglar	wh_main_spell_lil_waaagh_itchy_nuisance
elo_lore_boglar	wh2_dlc11_spell_deep_fog_of_the_damned
elo_lore_boglar	wh_main_spell_lil_waaagh_curse_of_da_bad_moon
elo_lore_boglar	wh2_dlc11_spell_deep_krakens_pull
elo_lore_boglar	wh_main_spell_lil_waaagh_sneaky_stabbin
elo_lore_boglar	wh2_dlc11_spell_deep_tidecall
ovn_lore_rot	ovn_spawn_fanatics
ovn_lore_rot	wh2_main_lore_passive_plague_rash
ovn_lore_rot	wh2_main_spell_plague_bless_with_filth
ovn_lore_rot	wh2_main_spell_plague_pestilent_birth
ovn_lore_rot	wh2_main_spell_plague_pestilent_breath
ovn_lore_rot	wh2_main_spell_plague_plague
ovn_lore_rot	wh2_main_spell_plague_wither
