technology_effects_junction_tables	0
technology	effect	effect_scope	value
elo_halfling_conscription	elo_hlf_militia_up	faction_to_force_own_unseen	-5.0
elo_halfling_good_pots	elo_hlf_militia_armour	faction_to_force_own_unseen	10.0
elo_halfling_good_pots	elo_hlf_militia_up	faction_to_force_own_unseen	-2.0
elo_halfling_farmer_tools	elo_hlf_militia_dmg	faction_to_force_own_unseen	10.0
elo_halfling_farmer_tools	elo_hlf_militia_up	faction_to_force_own_unseen	-2.0
elo_halfling_training	elo_hlf_militia_xp	faction_to_force_own_unseen	4.0
elo_halfling_training	elo_hlf_militia_up	faction_to_force_own_unseen	-2.0
elo_halfling_housewifes	elo_hlf_reaper_cb	faction_to_force_own_unseen	15.0
elo_halfling_housewifes	elo_hlf_reaper_ai	faction_to_force_own_unseen	20.0
elo_halfling_housewifes	elo_hlf_militia_up	faction_to_force_own_unseen	-2.0
elo_halfling_farmer_tools_2	elo_hlf_militia_dmg_ap	faction_to_force_own_unseen	4.0
elo_halfling_farmer_tools_2	elo_hlf_militia_mattk	faction_to_force_own_unseen	4.0
elo_halfling_farmer_tools_2	elo_hlf_militia_up	faction_to_force_own_unseen	-2.0
elo_halfling_fields	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own_unseen	10.0
elo_halfling_borrowing	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	10.0
elo_halfling_borrowing	wh_main_effect_force_all_campaign_loot_income	faction_to_faction_own_unseen	10.0
elo_halfling_borrowing	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own_unseen	2.0
elo_halfling_tobacco_1	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own_unseen	2.0
elo_halfling_tobacco_1	wh_dlc07_effect_economy_gdp_mod_industry	faction_to_region_own_unseen	10.0
elo_halfling_tobacco_2	wh_dlc07_effect_economy_gdp_mod_industry	faction_to_region_own_unseen	15.0
elo_halfling_tobacco_2	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own_unseen	2.0
elo_halfling_trade_1	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own_unseen	2.0
elo_halfling_trade_1	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	15.0
elo_halfling_trade_2	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	20.0
elo_halfling_trade_2	wh_main_effect_economy_trade_good_commodity_mod	faction_to_faction_own_unseen	2.0
elo_halfling_animals	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	5.0
elo_halfling_doggos	elo_hlf_doggo_speed	faction_to_force_own_unseen	15.0
elo_halfling_doggos	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	2.0
elo_halfling_piggies	elo_hlf_piggies_mdef	faction_to_force_own_unseen	6.0
elo_halfling_piggies	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	2.0
elo_halfling_riders	elo_hlf_cav_dmg	faction_to_force_own_unseen	15.0
elo_halfling_riders	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	2.0
elo_halfling_chicken	elo_hlf_cocks_charge	faction_to_force_own_unseen	10.0
elo_halfling_chicken	elo_hlf_cocks_mattk	faction_to_force_own_unseen	3.0
elo_halfling_chicken	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	2.0
elo_halfling_cav	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	2.0
elo_halfling_cav	enable_expandable_animals	faction_to_force_own_unseen	1.0
elo_halfling_old_ones	wh_main_effect_religion_conversion_untainted_technologies	faction_to_faction_own	2.0
elo_halfling_worship	wh_main_effect_religion_conversion_untainted_technologies	faction_to_faction_own	1.0
elo_halfling_worship	elo_all_hlf_morale	faction_to_force_own_unseen	4.0
elo_halfling_hyacinth	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	15.0
elo_halfling_hyacinth	wh_main_effect_religion_conversion_untainted_technologies	faction_to_faction_own	1.0
elo_halfling_josias	wh_main_effect_economy_gdp_mod_all	faction_to_region_own_unseen	15.0
elo_halfling_josias	wh_main_effect_religion_conversion_untainted_technologies	faction_to_faction_own	1.0
elo_halfling_quinsberry	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	15.0
