id	treasury_cost	expenditure_type	income_type
#resource_costs_tables;2;db/resource_costs_tables/ovn_crafting			
ovn_arb_crafting_armor_scorpion	-14000	RITUAL	RITUAL
ovn_arb_crafting_nomad	-5000	RITUAL	RITUAL
ovn_arb_crafting_weapons_seeking_bow	-7500	RITUAL	RITUAL
ovn_arb_crafting_arcane_items_monkey_king	-7500	RITUAL	RITUAL
ovn_arb_crafting_cheap	-500	RITUAL	RITUAL
ovn_arb_crafting_weapons_common	-1500	RITUAL	RITUAL
ovn_arb_crafting_weapons_uncommon	-3000	RITUAL	RITUAL
ovn_arb_crafting_weapons_rare	-5000	RITUAL	RITUAL
ovn_arb_crafting_weapons_crafted	-10000	RITUAL	RITUAL
ovn_arb_crafting_weapons_unique	-15000	RITUAL	RITUAL
ovn_arb_crafting_armor_common	-1500	RITUAL	RITUAL
ovn_arb_crafting_armor_uncommon	-3000	RITUAL	RITUAL
ovn_arb_crafting_armor_rare	-5000	RITUAL	RITUAL
ovn_arb_crafting_armor_crafted	-10000	RITUAL	RITUAL
ovn_arb_crafting_armor_unique	-15000	RITUAL	RITUAL
ovn_arb_crafting_enchanted_items_common	-1500	RITUAL	RITUAL
ovn_arb_crafting_enchanted_items_uncommon	-3000	RITUAL	RITUAL
ovn_arb_crafting_enchanted_items_rare	-5000	RITUAL	RITUAL
ovn_arb_crafting_enchanted_items_crafted	-10000	RITUAL	RITUAL
ovn_arb_crafting_enchanted_items_unique	-15000	RITUAL	RITUAL
ovn_arb_crafting_talismans_common	-1500	RITUAL	RITUAL
ovn_arb_crafting_talismans_uncommon	-3000	RITUAL	RITUAL
ovn_arb_crafting_talismans_rare	-5000	RITUAL	RITUAL
ovn_arb_crafting_talismans_crafted	-10000	RITUAL	RITUAL
ovn_arb_crafting_talismans_unique	-13500	RITUAL	RITUAL
ovn_arb_crafting_arcane_items_common	-1500	RITUAL	RITUAL
ovn_arb_crafting_arcane_items_uncommon	-3000	RITUAL	RITUAL
ovn_arb_crafting_arcane_items_rare	-5000	RITUAL	RITUAL
ovn_arb_crafting_arcane_items_crafted	-9000	RITUAL	RITUAL
ovn_arb_crafting_arcane_items_unique	-15000	RITUAL	RITUAL
