member	subculture
#campaign_group_member_criteria_subcultures_tables;0;db/campaign_group_member_criteria_subcultures_tables/ovn_bret_raze_sack	
wh_occupation_decision_bretonnia_raze_albion	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_sack_albion	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_raze_fimir	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_sack_fimir	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_raze_troll	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_sack_troll	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_raze_warp	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_sack_warp	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_raze_araby	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_sack_araby	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_raze_amazon	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_sack_amazon	wh_main_sc_brt_bretonnia
