Loc PackedFile	1
key	text	tooltip
ancillaries_colour_text_mount_horse_warleader	Albion bred warhorses are hardy, fast and sure-footed. However, only wealthy warriors can afford to ride on to battle.	true
ancillaries_onscreen_name_mount_horse_warleader	Albion Warhorse	true
ancillaries_colour_text_mount_chariot_warleader	The chariots built in Albion might look crude to more civilized folk, but they are well constructed and suprisingly dangerous on the field.	true
ancillaries_onscreen_name_mount_chariot_warleader	Albion Chariot	true
ancillaries_colour_text_mount_horse_truthsayer_beasts	Albion bred warhorses are hardy, fast and sure-footed. However, only wealthy warriors can afford to ride on to battle.	true
ancillaries_onscreen_name_mount_horse_truthsayer_beasts	Albion Warhorse	true
ancillaries_colour_text_mount_horse_truthsayer_light	Albion bred warhorses are hardy, fast and sure-footed. However, only wealthy warriors can afford to ride on to battle.	true
ancillaries_onscreen_name_mount_horse_truthsayer_light	Albion Warhorse	true
ancillaries_colour_text_mount_horse_truthsayer_life	Albion bred warhorses are hardy, fast and sure-footed. However, only wealthy warriors can afford to ride on to battle.	true
ancillaries_onscreen_name_mount_horse_truthsayer_life	Albion Warhorse	true
ancillaries_colour_text_mount_horse_truthsayer_truth	Albion bred warhorses are hardy, fast and sure-footed. However, only wealthy warriors can afford to ride on to battle.	true
ancillaries_onscreen_name_mount_horse_truthsayer_truth	Albion Warhorse	true
ancillaries_colour_text_mount_horse_wyrd	Albion bred warhorses are hardy, fast and sure-footed. However, only wealthy warriors can afford to ride on to battle.	true
ancillaries_onscreen_name_mount_horse_wyrd	Albion Warhorse	true
ancillaries_colour_text_mount_raven_morrigan	The only giant raven who has ever been spotted in the skies of Albion serves Morrigan as her loyal companion, allowing her to take to the skies whenever she desires to do so.	true
ancillaries_onscreen_name_mount_raven_morrigan	Dubh'neach	true
ancillaries_colour_text_anc_morrigan_staff	Morrigan is rarely ever seen without this staff which looks like a mere branch of a random tree. But those who know what to look for easily notice that it brims with magical power.	true
ancillaries_onscreen_name_anc_morrigan_staff	Seann'darach	true
ancillaries_colour_text_albion_hunting_dog	The fine nose of this animal detects hidden enemies and alarms his master if unseen foes are near.	true
ancillaries_onscreen_name_albion_hunting_dog	Blood Hound	true
ancillaries_colour_text_albion_woad_raider	This frenzied warrior will fight the enemies of Albion wherever he encounters them.	true
ancillaries_onscreen_name_albion_woad_raider	Woad Raider	true
ancillaries_colour_text_albion_tame_raven	Maybe this is a messanger of Morrigan's Flock, maybe he is just a tame Raven. Be it as it may, this bird faithfully accompanies its master, always on the hunt for glittering objects.	true
ancillaries_onscreen_name_albion_tame_raven	Raven Companion	true
ancillaries_onscreen_name_albion_druid_advisor	Druidic Advisor	true
ancillaries_colour_text_albion_druid_advisor	Truthsayers who are too old or fragile to continue serving on the battlefield or casting exhausting spells will often serve as advisors to chieftains and warleaders.	true
ancillaries_colour_text_albion_chief	Chieftains are figures of authority among the tribes. Not all of them fight on the battlefield, but even those who do not will help the war effort by maintaining order on the battlefield.	true
ancillaries_onscreen_name_albion_chief	Chieftain	true
ancillaries_colour_text_albion_old_warrior	Not many warriors of Albion are skilled or lucky enough to make it to old age. Those who do inspire the younger men of their tribe with stories of valor.	true
ancillaries_onscreen_name_albion_old_warrior	Old Warrior	true
ancillaries_colour_text_albion_scavanger	Sacking and looting settlements is sometimes required for the survival of the tribe. And some tribesmen are better at it than others.	true
ancillaries_onscreen_name_albion_scavanger	Plunderer	true
ancillaries_colour_text_albion_woman	Women of Albion may choose to take up arms, just like men. Those who do not are expected to learn a craft such as healing or hunting.	true
ancillaries_onscreen_name_albion_woman	Tribes Woman	true
