effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/elo_albion		
albion_enable_bound_flock_of_doom	enable	wh_dlc08_spell_bound_flock_of_doom
albion_enable_warcry	enable	albion_warcry
albion_disable_rally	disable	wh_main_character_abilities_rally
enable_wh2_main_lore_passive_truthsayer	enable	wh2_main_lore_passive_truthsayer
truth_miscast_gift_life_upgraded	miscast_percentage_mod	spell_truth_gift_life_upgraded
truth_reduce_wom_gift_upgraded	cost_mod	spell_truth_gift_life_upgraded
truth_enable_gift_upgraded	enable_overchage	spell_truth_gift_life
truth_enable_gift_upgraded	enable	spell_truth_gift_life
truth_reduce_wom_gift	cost_mod	spell_truth_gift_life
truth_cooldown_gift	recharge_mod	spell_truth_gift_life
truth_enable_gift	enable	spell_truth_gift_life
miscast_truth_boon_courage_upgraded	miscast_percentage_mod	spell_truth_boon_courage_upgraded
wom_truth_boon_courage_upgraded	cost_mod	spell_truth_boon_courage_upgraded
enable_truth_boon_courage_upgraded	enable_overchage	spell_truth_boon_courage
enable_truth_boon_courage_upgraded	enable	spell_truth_boon_courage
wom_truth_boon_courage	cost_mod	spell_truth_boon_courage
cooldown_truth_boon_courage	recharge_mod	spell_truth_boon_courage
enable_truth_boon_courage	enable	spell_truth_boon_courage
miscast_truth_valor_upgraded	miscast_percentage_mod	spell_truth_valor_upgraded
wom_truth_valor_upgraded	cost_mod	spell_truth_valor_upgraded
enable_truth_valor_upgraded	enable_overchage	spell_truth_valor
enable_truth_valor_upgraded	enable	spell_truth_valor
wom_truth_valor	cost_mod	spell_truth_valor
cooldown_truth_valor	recharge_mod	spell_truth_valor
enable_truth_valor	enable	spell_truth_valor
miscast_truth_protection_upgraded	miscast_percentage_mod	spell_truth_protection_upgraded
wom_truth_protection_upgraded	cost_mod	spell_truth_protection_upgraded
enable_truth_protection_upgraded	enable_overchage	spell_truth_protection
enable_truth_protection_upgraded	enable	spell_truth_protection
wom_truth_protection	cost_mod	spell_truth_protection
cooldown_truth_protection	recharge_mod	spell_truth_protection
enable_truth_protection	enable	spell_truth_protection
miscast_truth_voice_command_upgraded	miscast_percentage_mod	spell_truth_voice_command_upgraded
wom_truth_voice_command_upgraded	cost_mod	spell_truth_voice_command_upgraded
enable_truth_voice_command_upgraded	enable_overchage	spell_truth_voice_command
enable_truth_voice_command_upgraded	enable	spell_truth_voice_command
wom_truth_voice_command	cost_mod	spell_truth_voice_command
cooldown_truth_voice_command	recharge_mod	spell_truth_voice_command
enable_truth_voice_command	enable	spell_truth_voice_command
miscast_truth_wings_fate_upgraded	miscast_percentage_mod	spell_truth_wings_fate_upgraded
wom_truth_wings_fate_upgraded	cost_mod	spell_truth_wings_fate_upgraded
enable_truth_wings_fate_upgraded	enable_overchage	spell_truth_wings_fate
enable_truth_wings_fate_upgraded	enable	spell_truth_wings_fate
wom_truth_wings_fate	cost_mod	spell_truth_wings_fate
cooldown_truth_wings_fate	recharge_mod	spell_truth_wings_fate
enable_truth_wings_fate	enable	spell_truth_wings_fate
enable_truth_wings_fate_bound	enable	spell_truth_wings_fate_bound
enable_darkened_skies	enable	darkened_skies
enable_omen_of_doom	enable	omen_of_doom
enable_omen_of_war	enable	omen_of_war
enable_murder_of_crows	enable	murder_crows
enable_murder_of_crows_upgraded	enable	murder_crows_upgraded
disable_murder_of_crows	disable	murder_crows
elo_staff_of_dural_durak	enable	elo_staff_of_dural_durak
elo_amulet_old_ones	enable	elo_amulet_old_ones
elo_summon_fenbeasts	enable	elo_summon_fenbeasts
lesser_shield_of_the_old_ones	enable	lesser_shield_of_the_old_ones
