special_ability_groups_to_unit_abilities_junctions_tables	1
special_ability_groups	unit_special_abilities
ovn_lore_golden_magus	wh2_dlc11_spell_deep_tidecall
ovn_lore_golden_magus	wh2_dlc11_spell_deep_denizens_of_the_deep
ovn_lore_golden_magus	wh_main_spell_fire_the_burning_head
ovn_lore_golden_magus	wh_main_spell_fire_flame_storm
ovn_lore_golden_magus	wh_main_spell_heavens_harmonic_convergence
ovn_lore_golden_magus	wh_main_spell_heavens_urannons_thunderbolt
ovn_lore_golden_magus	wh_main_lore_passive_roiling_skies
ovn_lore_golden_magus	wh_main_lore_passive_kindleflame
ovn_lore_golden_magus	wh2_dlc11_lore_passive_kiss_of_the_deep
