cdir_military_generator_unit_qualities_tables	1
group_key	quality	unit_key
Default_land_infantry_melee	10	ovn_shearl
Default_land_infantry_melee	10	ovn_shearl_no_garrison
Default_land_infantry_melee	14	ovn_death_quest
Default_land_infantry_melee	15	ovn_killing_eye
Default_land_support	20	ovn_fimm
Default_land_support	25	ovn_fianna_fimm
Default_land_support	28	ovn_gharnus_demon
Default_land_monster	20	ovn_mistmor
Default_land_magic	10	wh_dlc08_nor_cha_fimir_balefiend_death
Default_land_magic	10	wh_dlc08_nor_cha_fimir_balefiend_beast
