child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
#technology_node_links_tables;2;db/technology_node_links_tables/scythan						
scythan_tech_bad_2	scythan_tech_bad_1	0	2	4	0.0	0.0
scythan_tech_bad_3	scythan_tech_bad_2	0	2	4	0.0	0.0
scythan_tech_bad_4	scythan_tech_bad_2	0	2	4	0.0	0.0
scythan_tech_bad_5	scythan_tech_bad_2	0	2	4	0.0	0.0
scythan_tech_bad_7	scythan_tech_bad_3	0	2	4	0.0	0.0
scythan_tech_bad_8	scythan_tech_bad_4	0	2	4	0.0	0.0
scythan_tech_bad_6	scythan_tech_bad_7	0	1	3	0.0	0.0
scythan_tech_good_2	scythan_tech_good_1	0	2	4	0.0	0.0
scythan_tech_good_3	scythan_tech_good_2	0	2	4	0.0	0.0
scythan_tech_good_4	scythan_tech_good_2	0	2	4	0.0	0.0
scythan_tech_good_5	scythan_tech_good_2	0	2	4	0.0	0.0
scythan_tech_good_6	scythan_tech_good_4	0	2	4	0.0	0.0
scythan_tech_good_7	scythan_tech_good_5	0	2	4	0.0	0.0
scythan_tech_good_8	scythan_tech_good_7	0	3	1	0.0	0.0
scythan_tech_neu_eco_3	scythan_tech_neu_eco_4	0	1	3	0.0	0.0
scythan_tech_good_9	scythan_tech_good_2	0	1	3	0.0	0.0
scythan_tech_bad_9	scythan_tech_bad_2	0	3	1	0.0	0.0
