key	unit_ability	unit_set
#unit_set_unit_ability_junctions_tables;0;db/unit_set_unit_ability_junctions_tables/ovn_lost_factions_gold		
sheriff_taunt	wh2_dlc11_character_abilities_taunt	elo_hlf_sheriff
supply_cart_loose	wh2_main_character_passive_loose	elo_hlf_supply
elo_superfood	elo_superfood	elo_hlf_feast
enable_frenzy_albion_warriors	wh_main_unit_passive_frenzy	elo_albion_humans
enable_howling_shields	howling_shields	elo_albion_shielded
enable_opportunist_albion	wh_dlc06_unit_passive_opportunist_murderer	elo_albion_humans
enable_berserk_sword	wh_dlc08_unit_passive_berserk	elo_morrigan_handmaidens_sword
enable_hawkish_hunter	morrigan_hunters_dmg	elo_morrigan_handmaidens_hunters
enable_wh_dlc08_unit_passive_from_the_mist	wh_dlc08_unit_passive_from_the_mist	all_units
elo_druid_circle_banish	wh_dlc04_spell_bound_banishment	elo_druid_circle
disable_war_fury_2	elo_albion_remove_war_fury_2	all_units
enable_zeal_holy_albion	elo_albion_holy_warriors_unbreakable	elo_albion_holy_warriors
elo_albion_protectors_world	elo_albion_protectors_world	all_units
fimir_untamed_monsters_frenzy	wh_main_unit_passive_frenzy	fimir_untamed_monsters
elo_fen_lord_heroes	wh2_dlc11_spell_bound_wind_blast	elo_fen_lord_heroes
elo_fen_lord_heroes	wh2_dlc14_spell_bound_warpfireball	elo_fen_lord_heroes
elo_demons_khoooorne	wh_dlc08_unit_passive_berserk	elo_demons_khoooorne
elo_ghost_vampire_novice	wh_main_spell_vampires_invocation_of_nehek	elo_larenscheld_afterlife
elo_ghost_vampire_novice	wh_main_spell_vampires_gaze_of_nagash	elo_larenscheld_afterlife
elo_ghost_vampire_advanced	wh_main_spell_vampires_vanhels_danse_macabre	elo_larenscheld_afterlife
elo_ghost_vampire_advanced	wh_main_spell_vampires_raise_dead	elo_larenscheld_afterlife
elo_ghost_vampire_expert	wh_main_spell_vampires_curse_of_years	elo_larenscheld_afterlife
elo_ghost_vampire_expert	wh_main_spell_vampires_wind_of_death	elo_larenscheld_afterlife
elo_ghost_vampire_master	wh_main_spell_vampires_raise_dead_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master	wh_main_spell_vampires_invocation_of_nehek_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master	wh_main_spell_vampires_vanhels_danse_macabre_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master	wh_main_spell_vampires_wind_of_death_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master	wh_main_spell_vampires_gaze_of_nagash_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_novice	wh_main_lore_passive_the_curse_of_undeath	elo_larenscheld_afterlife
elo_ghost_master_of_dead	wh_main_character_passive_master_of_the_dead	elo_larenscheld_afterlife
elo_ghost_master_of_dead	wh_main_character_abilities_magical_animus	elo_larenscheld_afterlife
elo_raw_might_frenzy	wh_main_unit_passive_frenzy	elo_raw_might
sickness_host	sickness_host	sickness_host
ribspreader_enable_bile_troll_passive	ribspreader_disable_sickness_host	elo_bile_trolls
vmp_effect_ability_hunger_to_blood_knights_units	wh2_dlc11_unit_passive_the_hunger	vmp_blood_knights
