variants_tables	6
variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
wh2_main_nor_Albion_swordmaiden		nor_albion_swordmaiden		1.07	1.0	0.05	
elo_albion_gryphon		elo_albion_gryphon		1.0	1.0	0.1	
alb_cav_noble		alb_cav_noble		1.0	0.95	0.05	
alb_cav_noble_spear		alb_cav_noble_spear		1.0	0.95	0.05	
alb_viridian_champ		alb_viridian_champ		1.2	1.2	0.05	
albion_riders_spear		albion_riders_spear		1.0	0.95	0.05	
elo_fenbeast		elo_fenbeast		1.1	1.1	0.15	
elo_albion_cha_queen		elo_albion_cha_queen		1.15	1.15	0.0	
elo_albion_warriors		elo_albion_warriors		0.95	0.95	0.05	
elo_youngbloods		elo_youngbloods		0.9	0.9	0.1	
elo_woadraider		elo_woadraider		1.05	0.95	0.05	
druid_neophytes		druid_neophytes		1.0	1.0	0.05	
elo_bloodhounds		elo_bloodhounds		1.0	1.0	0.05	
albion_stonethrower		albion_stonethrower		1.0	1.1	0.05	
albion_giant		albion_giant		1.0	1.0	0.15	
albion_huntresses		alb_huntress		1.1	1.1	0.1	
elo_albion_warriors_spears		elo_albion_warriors_spears		0.95	0.95	0.05	
elo_albion_warriors_2h		elo_albion_warriors_2h		0.95	0.95	0.05	
albion_warhorse		albion_warhorse		1.0	1.0	0.0	
albion_riders		albion_riders		1.0	0.95	0.0	
albion_riders_javelins		albion_riders_javelins		1.0	0.95	0.0	
albion_hearthguard		albion_hearthguard		1.0	0.95	0.1	
albion_hearthguard_halberd		albion_hearthguard_halberd		1.0	0.95	0.1	
albion_hearthguard_2h		albion_hearthguard_2h		1.0	1.05	0.1	
albion_chariot_fighter		albion_chariot_fighter		1.0	1.0	0.1	
albion_chariot_driver		albion_chariot_driver		1.0	1.0	0.1	
albion_chariot		albion_chariot		1.0	1.0	0.1	
albion_warhorse_chariot		albion_warhorse		1.0	1.0	0.1	
albion_truthsayer		albion_truthsayer		1.1	1.1	0.1	
albion_centaurs		albion_centaurs		1.0	1.0	0.1	
albion_fenhulk		elo_fenhulk		1.75	1.75	0.5	
albion_warleader		albion_warleader		1.0	1.1	0.05	
albion_chief		albion_chief		1.0	1.0	0.05	
albion_morrigan		albion_morrigan		1.0	1.0	0.0	
morrigan_midnight	VariantMeshes\wh_variantmodels\bi1\wef\wef_great_eagle\body\tech	morrigan_midnight		1.0	1.0	0.0	
albion_morrigan_bird		elo_morrigan_bird		1.0	1.0	0.0	
albion_half_giants		albion_half_giants		2.5	2.5	0.2	
albion_wyrd_druid		albion_wyrd_druid		1.05	1.05	0.0	
albion_truthsayer_beast		albion_truthsayer		1.1	1.1	0.1	
albion_truthsayer_life		albion_truthsayer		1.1	1.1	0.1	
albion_truthsayer_light		albion_truthsayer		1.1	1.1	0.1	
albion_truthsayer_truth		albion_truthsayer		1.1	1.1	0.1	
albion_chief_campaign		albion_chief_campaign		1.0	1.1	0.05	
ovn_alb_stone_throw_giant		alb_stone_giant		1.0	1.05	0.0	
bl_elo_dural_durak		bl_elo_dural_durak		1.1	1.1	0.0	
ovn_barrow_wight		ovn_barrow_wight		1.0	1.0	0.05	
