campaign_group_member_criteria_climates_tables	0
climate	member
climate_chaotic	ovn_araby_climate_chaotic
climate_desert	ovn_araby_climate_desert
climate_frozen	ovn_araby_climate_frozen
climate_island	ovn_araby_climate_island
climate_jungle	ovn_araby_climate_jungle
climate_magicforest	ovn_araby_climate_magicforest
climate_mountain	ovn_araby_climate_mountain
climate_ocean	ovn_araby_climate_ocean
climate_savannah	ovn_araby_climate_savannah
climate_temperate	ovn_araby_climate_temperate
climate_wasteland	ovn_araby_climate_wasteland
climate_chaotic	ovn_araby_scim_climate_chaotic
climate_desert	ovn_araby_scim_climate_desert
climate_frozen	ovn_araby_scim_climate_frozen
climate_island	ovn_araby_scim_climate_island
climate_jungle	ovn_araby_scim_climate_jungle
climate_magicforest	ovn_araby_scim_climate_magicforest
climate_mountain	ovn_araby_scim_climate_mountain
climate_ocean	ovn_araby_scim_climate_ocean
climate_savannah	ovn_araby_scim_climate_savannah
climate_temperate	ovn_araby_scim_climate_temperate
climate_wasteland	ovn_araby_scim_climate_wasteland
climate_chaotic	ovn_araby_scy_climate_chaotic
climate_desert	ovn_araby_scy_climate_desert
climate_frozen	ovn_araby_scy_climate_frozen
climate_island	ovn_araby_scy_climate_island
climate_jungle	ovn_araby_scy_climate_jungle
climate_magicforest	ovn_araby_scy_climate_magicforest
climate_mountain	ovn_araby_scy_climate_mountain
climate_ocean	ovn_araby_scy_climate_ocean
climate_savannah	ovn_araby_scy_climate_savannah
climate_temperate	ovn_araby_scy_climate_temperate
climate_wasteland	ovn_araby_scy_climate_wasteland
