special_ability_to_auto_deactivate_flags_tables	0
deactivate_flag	special_ability
morale_is_broken_or_lower	ovn_character_passive_unlikely_friendship
morale_is_higher_than_broken	ovn_character_passive_self_preservation
morale_is_broken_or_lower	ovn_lore_passive_blessing_of_the_elements
other_abilities_none_on_wind_up	ovn_lore_passive_blessing_of_the_elements
out_of_melee	blood_howl
winning_melee_combat	ovn_thief
morale_is_broken_or_lower	ovn_feast
morale_is_broken_or_lower	ammo_supply
morale_is_broken_or_lower	equipment_maintanance
health_above_75%	Violent_rise_to_power_1
health_above_50%	Violent_rise_to_power_2
health_above_25%	Violent_rise_to_power_3
health_above_20%	uncontrollable_rage
morale_is_higher_than_half_of_base_morale	uncontrollable_rage
morale_is_lower_than_half_of_base_morale	war_fury
winning_melee_combat	war_fury_2
mana_below_50%	woad_paint
health_below_50%_base	devestating_charge
other_abilities_none_on_wind_up	wh2_main_lore_passive_truthsayer
mana_below_50%	magic_siphon
health_below_50%_base	omen_of_doom
health_below_50%_base	omen_of_war
out_of_melee	murder_crows
out_of_melee	howling_shields
health_below_50%_base	howling_shields
out_of_melee	murder_crows_upgraded
enemies_in_intercept_range	morrigan_hunters_dmg
other_abilities_none_on_wind_up	elo_staff_of_dural_durak
health_above_20%	elo_amulet_old_ones
morale_is_broken_or_lower	elo_albion_freedom
out_of_melee	elo_albion_freedom
climbing	cr_unit_formation_shieldwall
on_a_platform	cr_unit_formation_shieldwall
manning_equipment	cr_unit_formation_shieldwall
health_below_50%	elo_champion_of_albion
hp_replenish_cap_reached	elo_hengus_blessing
morale_is_lower_than_half_of_base_morale	elo_albion_something_prove
health_below_50%_base	elo_albion_holy_warriors_unbreakable
morale_is_broken_or_lower	elo_albion_protectors_world
unit_alive	larenscheld_ghost_on_death
health_above_10%	larenscheld_ghost_on_death_upgraded
morale_is_lower_than_half_of_base_morale	elo_hand_punished_one
health_above_50%	elo_hungering_blade
out_of_melee	elo_hungering_blade
out_of_melee	burning_aura_of_ouch
health_below_50%_base	rock_solid
morale_is_broken_or_lower	rock_solid
engaged_in_melee	run_and_shakeoff
unit_is_not_in_forest	difficult_to_spot
enemies_in_intercept_range	difficult_to_spot
health_below_50%_base	warpstone_solid
morale_is_broken_or_lower	warpstone_solid
out_of_melee	troll_mocking_laughter
losing_melee_combat	troll_mocking_laughter
morale_is_broken_or_lower	troll_mocking_laughter
engaged_in_melee	ovn_mystic_mist
morale_is_lower_than_half_of_base_morale	ovn_mystic_mist
other_abilities_none_on_wind_up	lore_passive_ice_cold
other_abilities_none_on_wind_up	lore_passive_ice_winter
morale_is_higher_than_shattered	bacr_unit_passive_unstable_mark_ii_daemon
phase_is_the_end_phase	bacr_unit_passive_unstable_mark_ii_daemon
morale_is_higher_than_broken	bacr_unit_passive_unstable_daemon
phase_is_the_end_phase	bacr_unit_passive_unstable_daemon
out_of_melee	ovn_arb_baz_wep_10_vengeful_sword_heal
health_below_25%	ovn_arb_baz_wep_10_vengeful_sword_damage_self
engaged_in_melee	ovn_arb_baz_wep_10_vengeful_sword_damage_self
health_above_25%	ovn_arb_baz_wep_08_matyr_shard_ability
out_of_melee	ovn_arb_baz_wep_08_matyr_shard_ability
out_of_melee	ovn_arb_baz_arm_09_faith_shield_ability
engaged_in_melee	ovn_arb_baz_escape
morale_is_lower_than_half_of_base_morale	fim_skattach_poison_mist
health_above_50%	ribspreader_summon_allies
engaged_in_melee	arb_fatandira_desert_feint
out_of_melee	arb_golden_magus_skiff_scirocco
health_above_50%	arb_golden_magus_wrath_djinn_passive
morale_is_broken_or_lower	hlf_glibfoot_adv_continues
engaged_in_melee	hlf_master_chef_regeneration_passive_aura
morale_is_broken_or_lower	hlf_master_chef_regeneration_passive_aura
friendly_battle_leader_not_killed_or_routed	elo_troll_me_boss_now
