land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_main_unit_passive_unstable	elo_dread_centurion
wh_main_unit_passive_unstable_mark_ii	elo_dread_centurion
wh_main_character_abilities_heroic_killing_blow	elo_dread_centurion
wh2_dlc09_character_abilities_curse_of_djaf	elo_dread_centurion
wh2_dlc09_unit_passive_guardian	elo_dread_centurion
wh_main_unit_passive_unstable	elo_dread_centurion_horse
wh_main_unit_passive_unstable_mark_ii	elo_dread_centurion_horse
wh_main_character_abilities_heroic_killing_blow	elo_dread_centurion_horse
wh2_dlc09_character_abilities_curse_of_djaf	elo_dread_centurion_horse
wh2_dlc09_unit_passive_guardian	elo_dread_centurion_horse
wh_main_unit_passive_unstable	elo_dread_centurion_barded_horse
wh_main_unit_passive_unstable_mark_ii	elo_dread_centurion_barded_horse
wh_main_character_abilities_heroic_killing_blow	elo_dread_centurion_barded_horse
wh2_dlc09_character_abilities_curse_of_djaf	elo_dread_centurion_barded_horse
wh2_dlc09_unit_passive_guardian	elo_dread_centurion_barded_horse
wh_main_unit_passive_unstable	elo_dread_centurion_chariot
wh_main_unit_passive_unstable_mark_ii	elo_dread_centurion_chariot
wh_main_character_abilities_heroic_killing_blow	elo_dread_centurion_chariot
wh2_dlc09_character_abilities_curse_of_djaf	elo_dread_centurion_chariot
wh2_dlc09_unit_passive_guardian	elo_dread_centurion_chariot
