effect	bonus_value_id	agent
#effect_bonus_value_agent_junction_tables;0;db/effect_bonus_value_agent_junction_tables/ovn		
roy_effect_agent_enable_recruitment_arb_champion	availability	champion
roy_effect_agent_cap_increase_arb_champion	cap	champion
roy_effect_agent_recruitment_xp_arb_champion	recruitment_level	champion
roy_effect_agent_enable_recruitment_arb_nomad	availability	spy
roy_effect_agent_cap_increase_arb_nomad	cap	spy
roy_effect_agent_recruitment_xp_arb_nomad	recruitment_level	spy
roy_effect_agent_action_success_chance_arb_nomad	success_mod	spy
roy_effect_agent_action_cost_mod_arb_nomad	action_cost_mod	spy
roy_effect_agent_action_success_chance_arb_champion	success_mod	champion
increase_cap_albion_wyrd_druid	cap	wizard
increase_cap_albion_chief	cap	champion
enable_recruitment_chief	availability	champion
enable_recruitment_albion_wyrd_druid	availability	wizard
elo_carrion_boss_cap	cap	spy
elo_carrion_boss_availability	availability	spy
enable_recruitment_elo_centurion	availability	champion
increase_cap_elo_boglar_shaman	cap	wizard
enable_recruitment_elo_boglar_shaman	availability	wizard
wh2_dlc15_grn_river_troll_hag_wintertooth_cap	cap	runesmith
wh2_dlc15_grn_river_troll_hag_wintertooth_availability	availability	runesmith
elo_troll_champ_cap	cap	champion
elo_troll_champ_availability	availability	champion
wh_main_effect_agent_cap_increase_wizard_arb_1	cap	wizard
wh_main_effect_agent_enable_recruitment_wizard_arb_2	availability	wizard
wh_main_effect_agent_cap_increase_wizard_arb_2	cap	wizard
wh_main_effect_agent_enable_recruitment_wizard_arb_1	availability	wizard
ovn_effect_agent_cap_increase_champion_goblin_big_boss	cap	champion
ovn_effect_agent_enable_recruitment_champion_greenskins	availability	champion
ovn_effect_agent_enable_recruitment_rbt_blightstormer	availability	wizard
ovn_effect_agent_cap_increase_rbt_blightstormer	cap	wizard
ovn_effect_agent_recruitment_xp_rbt_blightstormer	recruitment_level	wizard
ovn_effect_agent_action_success_chance_rbt_blightstormer	success_mod	wizard
ovn_effect_agent_action_cost_mod_rbt_blightstormer	action_cost_mod	wizard
wh_main_effect_agent_enable_recruitment_fieldwarden	availability	spy
wh_main_effect_agent_cap_increase_spy_fieldwarden	cap	spy
wh_main_effect_agent_cap_increase_fieldwarden_level	recruitment_level	spy
wh_main_effect_agent_enable_recruitment_master_chef	availability	dignitary
wh_main_effect_agent_cap_increase_dignatary_master_chef	cap	dignitary
wh_main_effect_agent_cap_increase_master_chef_level	recruitment_level	dignitary
wh_main_effect_agent_enable_recruitment_sheriff	availability	champion
wh_main_effect_agent_cap_increase_champion_sheriff	cap	champion
wh_main_effect_agent_cap_increase_sheriff_level	recruitment_level	champion
fim_main_effect_agent_enable_recruitment_finmor	availability	champion
fim_main_effect_agent_cap_increase_champion_finmor	cap	champion
fim_main_effect_agent_xp_increase_finmor	recruitment_level	champion
increase_xp_elo_boglar_shaman	recruitment_level	wizard
fim_main_effect_agent_xp_increase_balefiend	recruitment_level	dignitary
