id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/elo_troll			
44001	3	elo_armoured_icetrolls	elo_armoured_icetrolls
44002	3	elo_river_trolls	elo_river_trolls
44003	1	elo_mountain_trolls	elo_mountain_trolls
44004	4	elo_forest_trolls	elo_forest_trolls
44005	5	elo_southern_trolls	elo_southern_trolls
44006	2	elo_bile_trolls	elo_bile_trolls
44007	3	wh_main_chs_mon_trolls	wh_main_chs_mon_trolls
44008	1	elo_snow_troll	elo_snow_troll
44009	1	wh2_dlc15_grn_mon_river_trolls_0_no_scrap	wh2_dlc15_grn_mon_river_trolls_0_no_scrap
44010	1	wh2_dlc15_grn_mon_stone_trolls_0_no_scrap	wh2_dlc15_grn_mon_stone_trolls_0_no_scrap
44011	3	elo_southern_trolls	rogue_troll_garrison
44012	2	elo_forest_trolls	rogue_troll_garrison
44013	1	wh2_dlc15_grn_mon_river_trolls_0_no_scrap	rogue_troll_garrison
