child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
#technology_node_links_tables;2;db/technology_node_links_tables/ovn_albion_tech						
albion_tech_war_2	albion_tech_war_1	0	2	4	0.0	0.0
albion_tech_war_3	albion_tech_war_2	0	2	4	0.0	0.0
albion_tech_war_4	albion_tech_war_3	0	2	4	0.0	0.0
albion_tech_war_5	albion_tech_war_4	0	2	4	0.0	0.0
albion_tech_truth_2	albion_tech_truth_1	0	2	4	0.0	0.0
albion_tech_truth_3	albion_tech_truth_2	0	2	4	0.0	0.0
albion_tech_truth_4	albion_tech_truth_3	0	2	4	0.0	0.0
albion_tech_truth_5	albion_tech_truth_4	0	2	4	0.0	0.0
albion_tech_peace_2	albion_tech_peace_1	0	2	4	0.0	0.0
albion_tech_peace_3	albion_tech_peace_2	0	2	4	0.0	0.0
albion_tech_peace_4	albion_tech_peace_3	0	2	4	0.0	0.0
albion_tech_peace_5	albion_tech_peace_4	0	2	4	0.0	0.0
albion_tech_war_truth_2	albion_tech_war_truth_1	0	2	4	0.0	0.0
albion_tech_war_truth_3	albion_tech_war_truth_2	0	2	4	0.0	0.0
albion_tech_war_truth_4	albion_tech_war_truth_3	0	2	4	0.0	0.0
albion_tech_truth_peace_2	albion_tech_truth_peace_1	0	2	4	0.0	0.0
albion_tech_truth_peace_3	albion_tech_truth_peace_2	0	2	4	0.0	0.0
albion_tech_truth_peace_4	albion_tech_truth_peace_3	0	2	4	0.0	0.0
albion_tech_ultimate	albion_tech_war_truth_4	0	2	4	0.0	0.0
albion_tech_ultimate	albion_tech_truth_peace_4	0	2	4	0.0	0.0
albion_tech_war_truth_1	albion_tech_truth_2	0	1	3	0.0	0.0
albion_tech_war_truth_2	albion_tech_truth_3	0	1	3	0.0	0.0
albion_tech_war_truth_3	albion_tech_truth_4	0	1	3	0.0	0.0
albion_tech_war_truth_4	albion_tech_truth_5	0	1	3	0.0	0.0
albion_tech_war_truth_1	albion_tech_war_2	0	3	1	0.0	0.0
albion_tech_war_truth_2	albion_tech_war_3	0	3	1	0.0	0.0
albion_tech_war_truth_3	albion_tech_war_4	0	3	1	0.0	0.0
albion_tech_war_truth_4	albion_tech_war_5	0	3	1	0.0	0.0
albion_tech_truth_peace_1	albion_tech_truth_2	0	1	3	0.0	0.0
albion_tech_truth_peace_2	albion_tech_truth_3	0	1	3	0.0	0.0
albion_tech_truth_peace_3	albion_tech_truth_4	0	1	3	0.0	0.0
albion_tech_truth_peace_4	albion_tech_truth_5	0	1	3	0.0	0.0
albion_tech_truth_peace_1	albion_tech_peace_2	0	3	1	0.0	0.0
albion_tech_truth_peace_2	albion_tech_peace_3	0	3	1	0.0	0.0
albion_tech_truth_peace_3	albion_tech_peace_4	0	3	1	0.0	0.0
albion_tech_truth_peace_4	albion_tech_peace_5	0	3	1	0.0	0.0
