member	climate
#campaign_group_member_criteria_climates_tables;0;db/campaign_group_member_criteria_climates_tables/blood_dragon_climate	
ovn_blood_dragon_climate_chaotic	climate_chaotic
ovn_blood_dragon_climate_desert	climate_desert
ovn_blood_dragon_climate_frozen	climate_frozen
ovn_blood_dragon_climate_island	climate_island
ovn_blood_dragon_climate_jungle	climate_jungle
ovn_blood_dragon_climate_magicforest	climate_magicforest
ovn_blood_dragon_climate_mountain	climate_mountain
ovn_blood_dragon_climate_ocean	climate_ocean
ovn_blood_dragon_climate_savannah	climate_savannah
ovn_blood_dragon_climate_temperate	climate_temperate
ovn_blood_dragon_climate_wasteland	climate_wasteland
