feature	group	available
#campaign_features_tables;0;db/campaign_features_tables/ovn_sc_shared		
additional_army_upkeep	wh_feature_nor_warp	false
factionwide_recruitment	wh_feature_nor_warp	true
hidden_settlements	wh_feature_nor_warp	true
slaves	wh_feature_nor_warp	true
additional_army_upkeep	wh_feature_nor_fimir	true
factionwide_recruitment	wh_feature_nor_fimir	true
hidden_settlements	wh_feature_nor_fimir	true
slaves	wh_feature_nor_fimir	true
ambush_in_default_stance	wh_feature_nor_fimir	true
factionwide_recruitment	wh_feature_nor_troll	true
hidden_settlements	wh_feature_nor_troll	true
additional_army_upkeep	wh_feature_nor_troll	false
loyalty_of_lords	wh_feature_nor_troll	true
factionwide_recruitment	wh_feature_nor_arb	true
additional_army_upkeep	wh_feature_nor_arb	true
slaves	wh_feature_nor_arb	true
factionwide_recruitment	wh_feature_nor_amazon	true
additional_army_upkeep	wh_feature_nor_amazon	true
factionwide_recruitment	wh_feature_nor_albion	true
additional_army_upkeep	wh_feature_nor_albion	true
geomantic_web	wh_feature_nor_albion	true
