effect_bonus_value_unit_ability_junctions_tables	0
effect	bonus_value_id	unit_ability
ovn_effect_ability_enable_blessing_of_the_elements	enable	ovn_lore_passive_blessing_of_the_elements
ovn_effect_magic_desert_enable_mirage	enable	ovn_spell_desert_mirage
ovn_effect_magic_desert_enable_mirage_upgraded	enable_overchage	ovn_spell_desert_mirage_upgraded
ovn_effect_magic_desert_enable_mirage_upgraded	enable	ovn_spell_desert_mirage_upgraded
ovn_effect_magic_desert_cooldown_mirage	recharge_mod	ovn_spell_desert_mirage
ovn_effect_magic_desert_miscast_reduction_mirage_upgraded	miscast_percentage_mod	ovn_spell_desert_mirage_upgraded
ovn_effect_magic_desert_reduce_wom_cost_mirage	cost_mod	ovn_spell_desert_mirage
ovn_effect_magic_desert_reduce_wom_cost_mirage_upgraded	cost_mod	ovn_spell_desert_mirage_upgraded
ovn_effect_magic_desert_enable_sunstrike	enable	ovn_spell_desert_sunstrike
ovn_effect_magic_desert_cooldown_sunstrike	recharge_mod	ovn_spell_desert_sunstrike
ovn_effect_magic_desert_enable_sunstrike_upgraded	enable_overchage	ovn_spell_desert_sunstrike_upgraded
ovn_effect_magic_desert_enable_sunstrike_upgraded	enable	ovn_spell_desert_sunstrike_upgraded
ovn_effect_magic_desert_miscast_reduction_sunstrike_upgraded	miscast_percentage_mod	ovn_spell_desert_sunstrike_upgraded
ovn_effect_magic_desert_reduce_wom_cost_sunstrike	cost_mod	ovn_spell_desert_sunstrike
ovn_effect_magic_desert_reduce_wom_cost_sunstrike_upgraded	cost_mod	ovn_spell_desert_sunstrike_upgraded
ovn_effect_magic_desert_enable_sandstorm	enable	ovn_spell_desert_sandstorm
ovn_effect_magic_desert_cooldown_sandstorm	recharge_mod	ovn_spell_desert_sandstorm
ovn_effect_magic_desert_enable_sandstorm_upgraded	enable_overchage	ovn_spell_desert_sandstorm_upgraded
ovn_effect_magic_desert_enable_sandstorm_upgraded	enable	ovn_spell_desert_sandstorm_upgraded
ovn_effect_magic_desert_miscast_reduction_sandstorm_upgraded	miscast_percentage_mod	ovn_spell_desert_sandstorm_upgraded
ovn_effect_magic_desert_reduce_wom_cost_sandstorm	cost_mod	ovn_spell_desert_sandstorm
ovn_effect_magic_desert_reduce_wom_cost_sandstorm_upgraded	cost_mod	ovn_spell_desert_sandstorm_upgraded
ovn_effect_magic_desert_enable_quicksand	enable	ovn_spell_desert_quicksand
ovn_effect_magic_desert_enable_quicksand_upgraded	enable_overchage	ovn_spell_desert_quicksand_upgraded
ovn_effect_magic_desert_enable_quicksand_upgraded	enable	ovn_spell_desert_quicksand_upgraded
ovn_effect_magic_desert_cooldown_quicksand	recharge_mod	ovn_spell_desert_quicksand
ovn_effect_magic_desert_miscast_reduction_quicksand_upgraded	miscast_percentage_mod	ovn_spell_desert_quicksand_upgraded
ovn_effect_magic_desert_reduce_wom_cost_quicksand	cost_mod	ovn_spell_desert_quicksand
ovn_effect_magic_desert_reduce_wom_cost_quicksand_upgraded	cost_mod	ovn_spell_desert_quicksand_upgraded
ovn_effect_magic_desert_enable_burning_hands	enable	ovn_spell_desert_burning_hands
ovn_effect_magic_desert_enable_burning_hands_upgraded	enable_overchage	ovn_spell_desert_burning_hands_upgraded
ovn_effect_magic_desert_enable_burning_hands_upgraded	enable	ovn_spell_desert_burning_hands_upgraded
ovn_effect_magic_desert_cooldown_burning_hands	recharge_mod	ovn_spell_desert_burning_hands
ovn_effect_magic_desert_miscast_reduction_burning_hands_upgraded	miscast_percentage_mod	ovn_spell_desert_burning_hands_upgraded
ovn_effect_magic_desert_reduce_wom_cost_burning_hands	cost_mod	ovn_spell_desert_burning_hands
ovn_effect_magic_desert_reduce_wom_cost_burning_hands_upgraded	cost_mod	ovn_spell_desert_burning_hands_upgraded
ovn_effect_magic_desert_enable_curse_of_the_djinn	enable	ovn_spell_desert_curse_of_the_djinn
ovn_effect_magic_desert_enable_curse_of_the_djinn_upgraded	enable_overchage	ovn_spell_desert_curse_of_the_djinn_upgraded
ovn_effect_magic_desert_enable_curse_of_the_djinn_upgraded	enable	ovn_spell_desert_curse_of_the_djinn_upgraded
ovn_effect_magic_desert_cooldown_curse_of_the_djinn	recharge_mod	ovn_spell_desert_curse_of_the_djinn
ovn_effect_magic_desert_miscast_reduction_curse_of_the_djinn_upgraded	miscast_percentage_mod	ovn_spell_desert_curse_of_the_djinn_upgraded
ovn_effect_magic_desert_reduce_wom_cost_curse_of_the_djinn	cost_mod	ovn_spell_desert_curse_of_the_djinn
ovn_effect_magic_desert_reduce_wom_cost_curse_of_the_djinn_upgraded	cost_mod	ovn_spell_desert_curse_of_the_djinn_upgraded
